#: table_doi: 10.17182/hepdata.91374.v1/t77
#: name: Figure 36e
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1m VBF higgsino process in the SR-VBF region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_36e.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,0.36046
40.0,3.0,1.5118
40.0,5.0,2.348
40.0,10.0,1.6829
40.0,20.0,0.56169
40.0,40.0,0.068039
60.0,2.0,1.1497
60.0,3.0,3.7879
60.0,5.0,6.4233
60.0,10.0,7.4726
60.0,20.0,3.6346
60.0,40.0,0.96567
80.0,2.0,0.91293
80.0,3.0,3.8112
80.0,5.0,8.5703
80.0,10.0,11.357
80.0,20.0,7.1847
80.0,40.0,2.7303
120.0,2.0,0.67319
120.0,3.0,3.1575
120.0,5.0,8.1984
120.0,10.0,15.558
120.0,20.0,13.244
120.0,40.0,6.9874
100.0,2.0,0.84064
100.0,3.0,3.3582
100.0,5.0,7.8528

