#: table_doi: 10.17182/hepdata.91374.v1/t28
#: name: Figure 29d
#: description: Efficiency for the N2N1 higgsino process in the SR-E-low region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_29d.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.43356
100.0,20.0,0.40875
101.5,1.5,0.0
102.0,2.0,0.45114
103.0,3.0,0.66939
105.0,5.0,0.48929
110.0,10.0,0.45999
110.0,30.0,0.43331
115.0,15.0,0.43464
120.0,20.0,0.44442
120.0,60.0,0.51176
120.0,40.0,0.40753
126.5,1.5,0.93071
127.0,2.0,0.48267
128.0,3.0,0.42456
130.0,30.0,0.42425
130.0,5.0,0.49755
135.0,10.0,0.45347
140.0,40.0,0.43575
140.0,15.0,0.42281
140.0,60.0,0.43095
145.0,20.0,0.43002
152.0,2.0,0.66298
153.0,3.0,0.44107
155.0,30.0,0.43416
155.0,5.0,0.471
160.0,60.0,0.40713
160.0,10.0,0.48482
165.0,40.0,0.44511
165.0,15.0,0.45302
170.0,20.0,0.43347
178.0,3.0,1.1264
180.0,30.0,0.44483
180.0,5.0,0.42254
185.0,10.0,0.38739
190.0,40.0,0.47004
190.0,15.0,0.40582
195.0,20.0,0.49889
202.0,2.0,0.3768
203.0,3.0,0.64768
205.0,5.0,0.53037
210.0,10.0,0.43197
215.0,15.0,0.43915
220.0,20.0,0.45602
230.0,30.0,0.42913
230.0,5.0,0.55962
235.0,10.0,0.39294
240.0,40.0,0.42159
240.0,15.0,0.35152
252.0,2.0,0.0
253.0,3.0,0.29383
255.0,5.0,0.48916
260.0,10.0,0.45611
265.0,15.0,0.42496
270.0,20.0,0.47095
280.0,30.0,0.45012
290.0,40.0,0.44239
81.5,1.5,0.0
82.0,2.0,0.57985
83.0,3.0,0.51491
85.0,5.0,0.56796
90.0,10.0,0.45724
95.0,15.0,0.41853

