#: table_doi: 10.17182/hepdata.91374.v1/t9
#: name: Figure 16a Expected
#: description: Expected 95% CL exclusion sensitivity for simplified models of direct slepton production.
#: data_file: figure_16a_expected.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.4338
51.473,0.4455
52.525,0.4542
54.22,0.4681
55.05,0.4751
57.017,0.4918
57.576,0.4966
59.885,0.5167
60.101,0.5186
62.626,0.5409
62.853,0.5429
65.151,0.5634
65.947,0.5704
67.677,0.5859
69.184,0.5992
70.202,0.6084
72.588,0.6297
72.727,0.631
75.252,0.6533
76.201,0.6615
77.778,0.6755
80.021,0.695
80.303,0.6976
82.828,0.7194
84.078,0.7303
85.353,0.7415
87.879,0.7631
88.354,0.7672
90.404,0.7851
92.836,0.8061
92.929,0.8069
95.454,0.8291
97.494,0.847
97.98,0.8513
100.51,0.874
102.26,0.8898
103.03,0.897
105.56,0.9207
107.07,0.935
108.08,0.9449
110.61,0.9698
111.86,0.9824
113.13,0.9956
115.66,1.0224
116.57,1.032
118.18,1.0503
120.71,1.0792
121.15,1.0844
123.23,1.1099
125.58,1.1395
125.76,1.1418
128.28,1.1754
129.86,1.197
130.81,1.2109
133.33,1.248
133.98,1.2578
135.86,1.2874
137.97,1.3213
138.38,1.3286
140.91,1.3721
141.85,1.3884
143.43,1.4178
145.62,1.4588
145.96,1.4655
148.48,1.5157
149.34,1.5325
151.01,1.5678
153.01,1.6103
153.54,1.6222
156.06,1.6784
156.66,1.692
158.59,1.737
160.31,1.7775
161.11,1.7972
163.64,1.8591
163.98,1.8677
166.16,1.9231
167.7,1.9625
168.69,1.9884
171.21,2.0554
171.44,2.0616
173.74,2.1247
175.24,2.1662
176.26,2.1953
178.79,2.2683
179.05,2.2756
181.31,2.3437
182.89,2.3911
183.84,2.421
186.36,2.5015
186.71,2.5125
188.89,2.5852
190.49,2.6394
191.41,2.673
193.94,2.765
194.18,2.7733
196.46,2.8622
197.77,2.9141
198.99,2.9655
201.22,3.0613
201.52,3.0754
204.04,3.1937
204.51,3.2166
206.57,3.3228
207.64,3.3799
209.09,3.4626
210.59,3.5506
211.62,3.6166
213.37,3.7308
214.14,3.7862
215.97,3.9201
216.67,3.9756
218.43,4.1181
219.19,4.187
220.74,4.3271
221.72,4.4259
222.91,4.5457
224.24,4.6968
224.95,4.7764
226.77,5.0061
226.86,5.0188
228.68,5.2723
229.29,5.3691
230.38,5.5399
231.82,5.801
231.93,5.821
233.37,6.115
234.34,6.3533
234.65,6.4254
235.77,6.7515
236.67,7.0925
236.87,7.1978
237.37,7.4525
237.81,7.8289
237.97,8.2262
237.81,8.6437
237.32,9.0803
236.87,9.324
236.49,9.5411
235.3,10.025
234.34,10.328
233.73,10.532
231.82,11.061
231.8,11.066
229.55,11.628
229.29,11.681
226.95,12.215
226.77,12.252
224.24,12.791
224.04,12.835
221.72,13.302
220.83,13.486
219.19,13.801
217.32,14.168
216.67,14.289
214.14,14.764
213.51,14.887
211.62,15.23
209.38,15.639
209.09,15.693
206.57,16.14
204.92,16.432
204.04,16.584
201.52,17.018
200.06,17.266
198.99,17.442
196.46,17.857
194.72,18.138
193.94,18.264
191.41,18.66
188.89,19.046
188.8,19.059
186.36,19.422
183.84,19.788
182.15,20.026
181.31,20.142
178.79,20.488
176.26,20.826
174.61,21.038
173.74,21.154
171.21,21.473
168.69,21.787
166.16,22.09
166.04,22.105
163.64,22.398
161.11,22.699
158.59,22.993
156.59,23.227
156.06,23.286
153.54,23.588
151.01,23.895
148.48,24.199
146.83,24.401
145.96,24.513
143.43,24.837
140.91,25.171
138.38,25.515
137.53,25.639
135.86,25.882
133.33,26.266
130.81,26.662
129.16,26.934
128.28,27.089
125.76,27.542
123.23,28.016
121.78,28.301
120.71,28.523
118.18,29.067
115.66,29.635
115.23,29.737
113.13,30.255
110.61,30.903
109.36,31.239
108.08,31.601
105.56,32.352
104.01,32.825
103.03,33.144
100.51,33.986
99.081,34.49
97.98,34.89
95.454,35.851
94.493,36.233
92.929,36.889
90.404,37.975
90.185,38.072
87.879,39.156
86.145,40.004

