#: table_doi: 10.17182/hepdata.91374.v1/t46
#: name: Figure 31f
#: description: Efficiency for the N2C1m higgsino process in the SR-E-med region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_31f.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.31057
100.0,20.0,0.37971
101.5,1.5,0.74439
102.0,2.0,0.59476
103.0,3.0,0.46683
105.0,5.0,0.41805
110.0,10.0,0.41764
110.0,30.0,0.2541
115.0,15.0,0.41356
120.0,20.0,0.36071
120.0,60.0,0.097801
120.0,40.0,0.30083
126.5,1.5,0.0
127.0,2.0,0.41669
128.0,3.0,0.42215
130.0,30.0,0.41515
130.0,5.0,0.42222
135.0,10.0,0.39673
140.0,40.0,0.30073
140.0,15.0,0.40824
140.0,60.0,0.12964
145.0,20.0,0.31426
152.0,2.0,0.41863
153.0,3.0,0.41593
155.0,30.0,0.41149
155.0,5.0,0.40588
160.0,60.0,0.0
160.0,10.0,0.37255
165.0,40.0,0.54046
165.0,15.0,0.39594
170.0,20.0,0.38621
178.0,3.0,0.5325
180.0,30.0,0.31839
180.0,5.0,0.42823
185.0,10.0,0.43456
190.0,40.0,0.38803
190.0,15.0,0.37979
195.0,20.0,0.35466
202.0,2.0,0.46572
203.0,3.0,0.45474
205.0,5.0,0.41289
210.0,10.0,0.35525
215.0,15.0,0.30985
220.0,20.0,0.37064
230.0,30.0,0.34931
230.0,5.0,0.43607
235.0,10.0,0.42458
240.0,40.0,0.5019
240.0,15.0,0.39627
252.0,2.0,0.55321
253.0,3.0,0.42331
255.0,5.0,0.44473
260.0,10.0,0.41606
265.0,15.0,0.38523
270.0,20.0,0.4043
280.0,30.0,0.44633
290.0,40.0,0.42532
81.5,1.5,0.50134
82.0,2.0,0.51406
83.0,3.0,0.45133
85.0,5.0,0.41015
90.0,10.0,0.36384
95.0,15.0,0.39395

