#: table_doi: 10.17182/hepdata.91374.v1/t11
#: name: Figure 16b LH smuon Expected
#: description: Expected 95% CL exclusion sensitivity for simplified models of direct LH smuon production.
#: data_file: figure_16b_lh_smuon_expected.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.5008
51.541,0.5167
52.525,0.5271
54.035,0.5429
55.05,0.5537
56.619,0.5704
57.576,0.5806
59.318,0.5992
60.101,0.6077
62.154,0.6297
62.626,0.6347
65.151,0.6615
65.151,0.6616
67.677,0.6882
68.346,0.695
70.202,0.7145
71.738,0.7303
72.727,0.7406
75.252,0.7665
75.334,0.7672
77.778,0.7921
79.158,0.8061
80.303,0.8179
82.828,0.8435
83.164,0.847
85.353,0.8696
87.338,0.8898
87.879,0.8956
90.404,0.9221
91.621,0.935
92.929,0.9493
95.454,0.977
95.942,0.9824
97.98,1.0058
100.24,1.032
100.51,1.0354
103.03,1.0666
104.45,1.0844
105.56,1.0993
108.08,1.1334
108.51,1.1395
110.61,1.17
112.41,1.197
113.13,1.2086
115.66,1.25
116.12,1.2578
118.18,1.2945
119.65,1.3213
120.71,1.3421
123.0,1.3884
123.23,1.3932
125.76,1.4484
126.22,1.4588
128.28,1.508
129.31,1.5325
130.81,1.5711
132.31,1.6103
133.33,1.6387
135.24,1.692
135.86,1.7104
138.12,1.7775
138.38,1.7857
140.91,1.8647
141.0,1.8677
143.43,1.9472
143.89,1.9625
145.96,2.0328
146.8,2.0616
148.48,2.1213
149.75,2.1662
151.01,2.2121
152.74,2.2756
153.54,2.3062
155.76,2.3911
156.06,2.4027
158.59,2.5032
158.82,2.5125
161.11,2.6074
161.89,2.6394
163.64,2.7158
164.93,2.7733
166.16,2.8301
167.94,2.9141
168.69,2.9512
170.87,3.0613
171.21,3.0796
173.71,3.2166
173.74,3.2181
176.26,3.369
176.44,3.3799
178.79,3.5335
179.05,3.5506
181.31,3.7145
181.53,3.7308
183.84,3.9174
183.86,3.9201
186.07,4.1181
186.36,4.1467
188.15,4.3271
188.89,4.4086
190.1,4.5457
191.41,4.7109
191.92,4.7764
193.62,5.0188
193.94,5.0687
195.21,5.2723
196.46,5.503
196.66,5.5399
198.0,5.821
198.99,6.066
199.19,6.115
200.25,6.4254
201.14,6.7515
201.52,6.9327
201.85,7.0925
202.37,7.4525
202.67,7.8289
202.72,8.2262
202.5,8.6437
201.98,9.0803
201.52,9.3325
201.14,9.5411
199.96,10.025
198.99,10.339
198.41,10.532
196.46,11.061
196.44,11.066
194.06,11.628
193.94,11.652
191.41,12.176
191.22,12.215
188.89,12.647
187.88,12.835
186.36,13.092
184.0,13.486
183.84,13.511
181.31,13.899
179.55,14.168
178.79,14.279
176.26,14.639
174.5,14.887
173.74,14.986
171.21,15.325
168.83,15.639
168.69,15.66
166.16,15.981
163.64,16.3
162.61,16.432
161.11,16.619
158.59,16.936
156.06,17.25
155.93,17.266
153.54,17.563
151.01,17.881
148.97,18.138
148.48,18.201
145.96,18.527
143.43,18.854
141.9,19.059
140.91,19.191
138.38,19.534
135.86,19.888
134.88,20.026
133.33,20.249
130.81,20.62
128.28,20.999
128.01,21.038
125.76,21.394
123.23,21.797
121.34,22.105
120.71,22.213
118.18,22.646
115.66,23.089
114.88,23.227
113.13,23.545
110.61,24.021
108.6,24.401
108.08,24.502
105.56,25.009
103.03,25.521
102.46,25.639
100.51,26.055
97.98,26.601
96.433,26.934
95.454,27.158
92.929,27.733
90.45,28.301
90.404,28.314
87.879,28.92
85.353,29.526
84.472,29.737
82.828,30.151
80.303,30.782
78.442,31.239
77.778,31.412
75.252,32.07
72.727,32.719
72.31,32.825
70.202,33.389
67.677,34.056
66.021,34.49
65.151,34.73
62.626,35.408
60.101,36.083
59.524,36.233
57.576,36.77
55.05,37.463
52.766,38.072
52.525,38.142
50.0,38.833

