#: table_doi: 10.17182/hepdata.91374.v1/t90
#: name: Figure 46cd
#: description: Observed and Expected upper cross-section limits for direct LH selectron scenarios.
#: data_file: figure_46cd.yaml
#: keyword reactions: P P --> SELECTRON SELECTRON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,40.0,0.92235
100.0,30.0,0.82293
100.0,20.0,0.35897
100.0,10.0,0.10501
100.0,5.0,0.11502
100.0,2.0,0.22834
100.0,1.0,0.70015
100.0,0.7,4.3716
100.0,0.5,8.9316
125.0,20.0,0.24354
125.0,10.0,0.084718
125.0,5.0,0.076604
125.0,2.0,0.16613
125.0,1.0,0.43761
125.0,0.7,6.0546
125.0,40.0,0.46332
125.0,30.0,0.58118
150.0,40.0,0.38924
150.0,30.0,0.34164
150.0,25.7,0.1851
150.0,20.0,0.12594
150.0,10.0,0.054538
150.0,5.0,0.047019
150.0,2.0,0.13981
175.0,40.0,0.24528
175.0,30.0,0.19941
175.0,20.0,0.12928
175.0,10.0,0.037153
175.0,5.0,0.059084
175.0,2.0,0.19768
175.0,1.0,0.47301
200.0,40.0,0.1459
200.0,30.0,0.092061
200.0,20.0,0.12732
200.0,10.0,0.044134
200.0,5.0,0.0398
200.0,2.0,0.14386
200.0,1.0,1.8647
225.0,40.0,0.17163
225.0,30.0,0.1049
225.0,20.0,0.071145
225.0,10.0,0.037111
225.0,5.0,0.037462
225.0,2.0,0.066702
225.0,1.0,0.89885
250.0,20.0,0.053663
250.0,10.0,0.030169
250.0,5.0,0.050191
250.0,2.0,0.19133
300.0,10.0,0.021954
300.0,5.0,0.025052
300.0,2.0,0.10208
50.0,5.0,0.57955
50.0,2.0,1.4015
50.0,1.0,2.6061
50.0,0.7,4.344
50.0,0.5,7.0895
50.0,0.3,78.402
60.0,5.0,0.34952
60.0,2.0,0.79885
60.0,1.0,1.7235
60.0,0.7,2.7313
60.0,0.5,6.3318
60.0,0.3,87.607
70.0,5.0,0.20592
70.0,2.0,0.62008
70.0,1.0,1.0944
70.0,0.7,4.192
70.0,0.5,13.478
90.0,40.0,1.4969
90.0,20.0,0.34731

$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,40.0,0.81404
100.0,30.0,0.57769
100.0,20.0,0.31756
100.0,10.0,0.11059
100.0,5.0,0.10987
100.0,2.0,0.20162
100.0,1.0,0.82833
100.0,0.7,4.172
100.0,0.5,8.9378
125.0,20.0,0.19558
125.0,10.0,0.08337
125.0,5.0,0.076609
125.0,2.0,0.16341
125.0,1.0,0.56688
125.0,0.7,7.9178
125.0,40.0,0.37185
125.0,30.0,0.3707
150.0,40.0,0.33742
150.0,30.0,0.24857
150.0,25.7,0.16209
150.0,20.0,0.12574
150.0,10.0,0.053645
150.0,5.0,0.042678
150.0,2.0,0.13738
175.0,40.0,0.2716
175.0,30.0,0.1395
175.0,20.0,0.1146
175.0,10.0,0.037834
175.0,5.0,0.055322
175.0,2.0,0.18064
175.0,1.0,0.61138
200.0,40.0,0.13152
200.0,30.0,0.079225
200.0,20.0,0.08007
200.0,10.0,0.041261
200.0,5.0,0.035282
200.0,2.0,0.17416
200.0,1.0,2.1106
225.0,40.0,0.14039
225.0,30.0,0.11097
225.0,20.0,0.057312
225.0,10.0,0.035667
225.0,5.0,0.037345
225.0,2.0,0.078952
225.0,1.0,1.1869
250.0,20.0,0.043418
250.0,10.0,0.030065
250.0,5.0,0.043891
250.0,2.0,0.21975
300.0,10.0,0.022511
300.0,5.0,0.024168
300.0,2.0,0.12286
50.0,5.0,0.6936
50.0,2.0,1.2158
50.0,1.0,2.2583
50.0,0.7,4.6862
50.0,0.5,8.6973
50.0,0.3,90.833
60.0,5.0,0.3773
60.0,2.0,0.70977
60.0,1.0,1.6474
60.0,0.7,3.18
60.0,0.5,8.0298
60.0,0.3,119.87
70.0,5.0,0.22951
70.0,2.0,0.48344
70.0,1.0,1.0484
70.0,0.7,5.1262
70.0,0.5,17.12
90.0,40.0,1.0692
90.0,20.0,0.3459

