#: table_doi: 10.17182/hepdata.91374.v1/t32
#: name: Figure 29h
#: description: Efficiency for the N2N1 higgsino process in the SR-E-1l1T region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_29h.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
81.0,1.0,0.0077036
81.5,1.5,0.034506
82.0,2.0,0.058622
83.0,3.0,0.067645
85.0,5.0,0.064347
101.0,1.0,0.0021799
101.5,1.5,0.030768
102.0,2.0,0.048818
103.0,3.0,0.084426
105.0,5.0,0.117
126.0,1.0,0.0072377
126.5,1.5,0.0192
127.0,2.0,0.048423
128.0,3.0,0.085333
130.0,5.0,0.12451
152.0,2.0,0.038471
155.0,5.0,0.12523
153.0,3.0,0.08177

