#: table_doi: 10.17182/hepdata.91374.v1/t36
#: name: Figure 30d
#: description: Efficiency for the N2C1p higgsino process in the SR-E-low region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_30d.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.45429
100.0,20.0,0.41249
101.5,1.5,0.62095
102.0,2.0,0.33078
103.0,3.0,0.44448
105.0,5.0,0.53389
110.0,10.0,0.42804
110.0,30.0,0.43983
115.0,15.0,0.47157
120.0,20.0,0.43633
120.0,60.0,0.44824
120.0,40.0,0.45103
126.5,1.5,0.51196
127.0,2.0,0.45858
128.0,3.0,0.33184
130.0,30.0,0.43088
130.0,5.0,0.46974
135.0,10.0,0.45822
140.0,40.0,0.42154
140.0,15.0,0.47931
140.0,60.0,0.43394
145.0,20.0,0.44474
152.0,2.0,0.74644
153.0,3.0,0.47051
155.0,30.0,0.4146
155.0,5.0,0.53505
160.0,60.0,0.38589
160.0,10.0,0.46079
165.0,40.0,0.43
165.0,15.0,0.42004
170.0,20.0,0.40737
178.0,3.0,0.21537
180.0,30.0,0.44493
180.0,5.0,0.60954
185.0,10.0,0.55844
190.0,40.0,0.46561
190.0,15.0,0.5668
195.0,20.0,0.42064
202.0,2.0,0.041595
203.0,3.0,0.71357
205.0,5.0,0.52196
210.0,10.0,0.45134
215.0,15.0,0.42992
220.0,20.0,0.44512
230.0,30.0,0.41635
230.0,5.0,0.28529
235.0,10.0,0.50922
240.0,40.0,0.38962
240.0,15.0,0.44545
252.0,2.0,0.40313
253.0,3.0,0.53773
255.0,5.0,0.36294
260.0,10.0,0.46333
265.0,15.0,0.45332
270.0,20.0,0.43705
280.0,30.0,0.44422
290.0,40.0,0.42419
81.5,1.5,0.0
82.0,2.0,0.74345
83.0,3.0,0.45605
85.0,5.0,0.49248
90.0,10.0,0.44107
95.0,15.0,0.4215

