#: table_doi: 10.17182/hepdata.91374.v1/t45
#: name: Figure 31e
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1m higgsino process in the SR-E-med region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_31e.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.034533
100.0,20.0,0.23859
101.5,1.5,0.0012803
102.0,2.0,0.023756
103.0,3.0,0.18609
105.0,5.0,0.69882
110.0,10.0,0.84586
110.0,30.0,0.078209
115.0,15.0,0.56406
120.0,20.0,0.29024
120.0,60.0,0.017684
120.0,40.0,0.035805
126.5,1.5,0.0016473
127.0,2.0,0.015866
128.0,3.0,0.17533
130.0,30.0,0.093271
130.0,5.0,0.8532
135.0,10.0,1.0492
140.0,40.0,0.038436
140.0,15.0,0.59102
140.0,60.0,0.012082
145.0,20.0,0.36251
152.0,2.0,0.017357
153.0,3.0,0.1358
155.0,30.0,0.10842
155.0,5.0,0.61169
160.0,60.0,0.013102
160.0,10.0,1.2396
165.0,40.0,0.043631
165.0,15.0,0.87813
170.0,20.0,0.43193
178.0,3.0,0.11005
180.0,30.0,0.12047
180.0,5.0,0.5919
185.0,10.0,1.3222
190.0,40.0,0.054099
190.0,15.0,0.88664
195.0,20.0,0.43553
202.0,2.0,0.010457
203.0,3.0,0.087351
205.0,5.0,0.52538
210.0,10.0,1.49
215.0,15.0,1.0969
220.0,20.0,0.58225
230.0,30.0,0.13894
230.0,5.0,0.52184
235.0,10.0,1.3435
240.0,40.0,0.045739
240.0,15.0,1.1787
252.0,2.0,0.0073103
253.0,3.0,0.088132
255.0,5.0,0.48185
260.0,10.0,1.5531
265.0,15.0,1.1224
270.0,20.0,0.64012
280.0,30.0,0.19903
290.0,40.0,0.055355
81.5,1.5,0.0015595
82.0,2.0,0.031133
83.0,3.0,0.18983
85.0,5.0,0.57198
90.0,10.0,0.67136
95.0,15.0,0.53957

