#: table_doi: 10.17182/hepdata.91374.v1/t88
#: name: Figure 45ef
#: description: Observed and Expected upper cross-section limits for direct RH smuon scenarios.
#: data_file: figure_45ef.yaml
#: keyword reactions: P P --> SMUON SMUON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,20.0,0.16135
100.0,10.0,0.052933
100.0,5.0,0.04878
100.0,2.0,0.14393
100.0,1.0,0.155
100.0,0.7,0.71477
100.0,0.5,6.1829
125.0,20.0,0.10163
125.0,10.0,0.036334
125.0,5.0,0.043521
125.0,2.0,0.10143
125.0,1.0,0.15017
125.0,0.7,0.95799
125.0,40.0,0.25278
125.0,30.0,0.1917
150.0,40.0,0.26896
150.0,25.7,0.10506
150.0,20.0,0.073527
150.0,10.0,0.025127
150.0,5.0,0.028277
150.0,2.0,0.079431
150.0,1.0,0.2308
175.0,40.0,0.14011
175.0,20.0,0.042723
175.0,10.0,0.018809
175.0,5.0,0.027994
175.0,2.0,0.049213
175.0,1.0,0.23565
200.0,40.0,0.10817
200.0,30.0,0.090535
200.0,20.0,0.034059
200.0,10.0,0.018698
200.0,5.0,0.023198
200.0,2.0,0.048836
200.0,1.0,0.35084
225.0,40.0,0.19536
225.0,30.0,0.12078
225.0,20.0,0.040734
225.0,10.0,0.016967
225.0,5.0,0.020377
225.0,2.0,0.036658
225.0,1.0,0.41866
250.0,20.0,0.034855
250.0,10.0,0.012583
250.0,5.0,0.019656
250.0,2.0,0.022344
300.0,10.0,0.013329
300.0,5.0,0.021288
300.0,2.0,0.03436
50.0,5.0,0.31215
50.0,2.0,0.55364
50.0,1.0,1.3852
50.0,0.7,2.0848
50.0,0.5,2.0717
50.0,0.3,28.019
60.0,5.0,0.16076
60.0,2.0,0.36588
60.0,1.0,0.85309
60.0,0.7,0.89653
60.0,0.5,1.7492
60.0,0.3,35.715
70.0,5.0,0.10635
70.0,2.0,0.29922
70.0,1.0,0.39837
70.0,0.7,0.567
70.0,0.5,2.3121
90.0,20.0,0.20879

$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,20.0,0.19022
100.0,10.0,0.07317
100.0,5.0,0.061194
100.0,2.0,0.12055
100.0,1.0,0.25342
100.0,0.7,1.0232
100.0,0.5,6.9368
125.0,20.0,0.11937
125.0,10.0,0.047046
125.0,5.0,0.046903
125.0,2.0,0.098309
125.0,1.0,0.2514
125.0,0.7,1.3388
125.0,40.0,0.28782
125.0,30.0,0.24304
150.0,40.0,0.25402
150.0,25.7,0.10715
150.0,20.0,0.084378
150.0,10.0,0.033494
150.0,5.0,0.030557
150.0,2.0,0.073235
150.0,1.0,0.3493
175.0,40.0,0.17976
175.0,20.0,0.050313
175.0,10.0,0.024822
175.0,5.0,0.02753
175.0,2.0,0.056239
175.0,1.0,0.33128
200.0,40.0,0.12135
200.0,30.0,0.085396
200.0,20.0,0.043195
200.0,10.0,0.022159
200.0,5.0,0.024154
200.0,2.0,0.060596
200.0,1.0,0.45398
225.0,40.0,0.20815
225.0,30.0,0.085399
225.0,20.0,0.043392
225.0,10.0,0.020019
225.0,5.0,0.02342
225.0,2.0,0.055041
225.0,1.0,0.5062
250.0,20.0,0.045474
250.0,10.0,0.015866
250.0,5.0,0.017696
250.0,2.0,0.037369
300.0,10.0,0.016939
300.0,5.0,0.018015
300.0,2.0,0.044312
50.0,5.0,0.41473
50.0,2.0,0.59119
50.0,1.0,1.1539
50.0,0.7,2.585
50.0,0.5,3.3727
50.0,0.3,33.89
60.0,5.0,0.20989
60.0,2.0,0.34977
60.0,1.0,0.81348
60.0,0.7,1.3799
60.0,0.5,2.8509
60.0,0.3,40.592
70.0,5.0,0.14199
70.0,2.0,0.25574
70.0,1.0,0.49442
70.0,0.7,0.92732
70.0,0.5,3.7153
90.0,20.0,0.23924

