#: table_doi: 10.17182/hepdata.91374.v1/t49
#: name: Figure 32a
#: description: Acceptance (note the $z$-axis is in units of $10^{-3}$) for the slepton process in the SR-S region.  Truth stransverse mass is constrained to be within the range [100,140] GeV.
#: data_file: figure_32a.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-3}$)
100.0,40.0,1.5435
100.0,30.0,2.0977
100.0,20.0,3.6269
100.0,10.0,7.0963
100.0,5.0,5.8623
100.0,2.0,1.8751
100.0,1.0,0.49473
100.0,0.7,0.129
100.0,0.5,0.023779
125.0,20.0,5.6847
125.0,10.0,10.559
125.0,5.0,8.3888
125.0,2.0,2.4969
125.0,1.0,0.52475
125.0,0.7,0.11678
125.0,0.5,0.016869
125.0,40.0,2.2802
125.0,30.0,3.2273
150.0,40.0,2.883
150.0,30.0,4.1115
150.0,25.7,5.4356
150.0,20.0,7.5665
150.0,10.0,13.535
150.0,5.0,11.446
150.0,2.0,3.0321
150.0,1.0,0.40287
150.0,0.5,0.019355
175.0,40.0,3.0585
175.0,30.0,5.2781
175.0,20.0,9.1089
175.0,10.0,16.373
175.0,5.0,12.086
175.0,2.0,3.2879
175.0,1.0,0.46672
200.0,40.0,4.0039
200.0,30.0,6.0247
200.0,20.0,11.026
200.0,10.0,19.045
200.0,5.0,13.224
200.0,2.0,3.34
200.0,1.0,0.41115
225.0,40.0,4.0136
225.0,30.0,6.8963
225.0,20.0,11.828
225.0,10.0,20.208
225.0,5.0,14.878
225.0,2.0,3.6213
225.0,1.0,0.38
250.0,20.0,13.128
250.0,10.0,21.617
250.0,5.0,16.652
250.0,2.0,3.9077
250.0,1.0,0.2859
300.0,10.0,23.866
300.0,5.0,17.167
300.0,2.0,3.8515
50.0,5.0,1.2007
50.0,2.0,0.50955
50.0,1.0,0.16397
50.0,0.7,0.075144
50.0,0.5,0.033866
50.0,0.3,0.0043208
60.0,5.0,2.2564
60.0,2.0,0.82359
60.0,1.0,0.25424
60.0,0.7,0.11184
60.0,0.5,0.042907
60.0,0.3,0.0045609
70.0,5.0,3.2288
70.0,2.0,1.141
70.0,1.0,0.33329
70.0,0.7,0.13242
70.0,0.5,0.038224
90.0,40.0,1.2318
90.0,20.0,3.1076

