#: table_doi: 10.17182/hepdata.91374.v1/t23
#: name: Figure 28e
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the C1C1 higgsino process in the SR-E-med region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_28e.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.12963
100.0,20.0,0.3525
101.5,1.5,0.00090516
102.0,2.0,0.0019465
103.0,3.0,0.011955
105.0,5.0,0.064462
110.0,10.0,0.2364
110.0,30.0,0.3787
115.0,15.0,0.40349
120.0,20.0,0.45844
120.0,60.0,0.081014
120.0,40.0,0.17115
126.5,1.5,0.00063897
127.0,2.0,0.0014875
128.0,3.0,0.0093815
130.0,30.0,0.35876
130.0,5.0,0.05525
135.0,10.0,0.29774
140.0,40.0,0.23551
140.0,15.0,0.45617
140.0,60.0,0.10051
145.0,20.0,0.53648
152.0,2.0,0.00037782
153.0,3.0,0.0082679
155.0,30.0,0.40115
155.0,5.0,0.04499
160.0,60.0,0.10213
160.0,10.0,0.23997
165.0,40.0,0.22863
165.0,15.0,0.51139
170.0,20.0,0.58939
178.0,3.0,0.0025846
180.0,30.0,0.4615
180.0,5.0,0.049756
185.0,10.0,0.27
190.0,40.0,0.27652
190.0,15.0,0.46144
195.0,20.0,0.61535
202.0,2.0,0.00085093
203.0,3.0,0.005064
205.0,5.0,0.039157
210.0,10.0,0.21589
215.0,15.0,0.48538
220.0,20.0,0.61217
230.0,30.0,0.53031
230.0,5.0,0.04356
235.0,10.0,0.26281
240.0,40.0,0.35945
240.0,15.0,0.47901
252.0,2.0,0.00014052
253.0,3.0,0.0026201
255.0,5.0,0.030635
260.0,10.0,0.23098
265.0,15.0,0.52471
270.0,20.0,0.57938
280.0,30.0,0.53806
290.0,40.0,0.34116
81.5,1.5,0.00062768
82.0,2.0,0.0027747
83.0,3.0,0.01519
85.0,5.0,0.074859
90.0,10.0,0.26375
95.0,15.0,0.36184

