#: table_doi: 10.17182/hepdata.91374.v1/t82
#: name: Figure 43ab
#: description: Observed and Expected upper cross-section limits for higgsino scenarios, assuming VBF production..
#: data_file: figure_43ab.yaml
#: keyword reactions: P P --> WINO BINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,40.0,1.5443
100.0,20.0,0.54386
100.0,10.0,0.20019
100.0,5.0,0.14612
100.0,3.0,0.26257
120.0,20.0,0.49034
120.0,10.0,0.19188
120.0,3.0,0.28893
120.0,40.0,1.2893
40.0,20.0,3.7294
40.0,10.0,1.1805
40.0,5.0,0.71801
40.0,3.0,0.77805
40.0,2.0,2.7715
60.0,40.0,2.7924
60.0,20.0,0.97137
60.0,10.0,0.62886
60.0,5.0,0.3351
60.0,3.0,0.60882
60.0,2.0,1.5082
80.0,40.0,2.316
80.0,20.0,0.79257
80.0,10.0,0.24301
80.0,5.0,0.15281
80.0,3.0,0.2199
80.0,2.0,0.52244

$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,40.0,1.1586
100.0,20.0,0.40762
100.0,10.0,0.16117
100.0,5.0,0.14792
100.0,3.0,0.41813
120.0,20.0,0.35127
120.0,10.0,0.14965
120.0,3.0,0.45589
120.0,40.0,0.96418
40.0,20.0,2.7365
40.0,10.0,1.0459
40.0,5.0,0.64331
40.0,3.0,0.82097
40.0,2.0,3.0425
60.0,40.0,2.2811
60.0,20.0,0.80264
60.0,10.0,0.54313
60.0,5.0,0.35724
60.0,3.0,0.85982
60.0,2.0,2.6154
80.0,40.0,1.7931
80.0,20.0,0.56638
80.0,10.0,0.19772
80.0,5.0,0.15223
80.0,3.0,0.35356
80.0,2.0,0.94281

