#: table_doi: 10.17182/hepdata.91374.v1/t72
#: name: Figure 35f
#: description: Efficiency for the N2C1p VBF higgsino process in the SR-VBF region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_35f.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.31197
40.0,3.0,0.2679
40.0,5.0,0.31097
40.0,10.0,0.34163
40.0,20.0,0.43945
40.0,40.0,0.49679
60.0,2.0,0.39208
60.0,3.0,0.48202
60.0,5.0,0.43961
60.0,10.0,0.36642
60.0,20.0,0.46939
60.0,40.0,0.43397
80.0,2.0,0.4297
80.0,3.0,0.50375
80.0,5.0,0.45455
80.0,10.0,0.39414
80.0,20.0,0.41213
80.0,40.0,0.47121
120.0,2.0,0.47
120.0,3.0,0.50472
120.0,5.0,0.46367
120.0,10.0,0.37441
120.0,20.0,0.39597
120.0,40.0,0.4277
100.0,2.0,0.4415
100.0,3.0,0.46176
100.0,5.0,0.45332

