#: table_doi: 10.17182/hepdata.91374.v1/t69
#: name: Figure 35c
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1p VBF higgsino process in the SR-VBF-low region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_35c.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,0.28851
40.0,3.0,1.127
40.0,5.0,1.6371
40.0,10.0,1.0621
40.0,20.0,0.40019
40.0,40.0,0.05662
60.0,2.0,0.88736
60.0,3.0,2.6582
60.0,5.0,4.4423
60.0,10.0,4.9066
60.0,20.0,2.2271
60.0,40.0,0.64255
80.0,2.0,0.751
80.0,3.0,2.773
80.0,5.0,5.5757
80.0,10.0,7.2414
80.0,20.0,4.8762
80.0,40.0,1.8336
120.0,2.0,0.52985
120.0,3.0,2.5436
120.0,5.0,6.44
120.0,10.0,10.729
120.0,20.0,8.5409
120.0,40.0,4.1805
100.0,2.0,0.61345
100.0,3.0,2.6741
100.0,5.0,6.4002

