#: table_doi: 10.17182/hepdata.91374.v1/t5
#: name: Figure 14c Expected
#: description: Expected 95% CL exclusion sensitivity for simplified models of direct wino-bino production, assuming $m(\tilde{\chi}_{2}^{0}) \times m(\tilde{\chi}_{1}^{0})>0$.
#: data_file: figure_14c_expected.yaml
#: keyword reactions: P P --> WINO BINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]"
90.0,1.252
92.374,1.2703
93.789,1.2817
94.748,1.2897
97.121,1.3104
99.495,1.3317
99.93,1.3357
101.87,1.3549
104.24,1.3788
105.52,1.3922
106.62,1.4044
108.99,1.4319
110.61,1.4511
111.36,1.4608
113.74,1.4918
115.23,1.5122
116.11,1.5251
118.48,1.5613
119.44,1.5762
120.86,1.6003
123.23,1.6421
123.26,1.6425
125.61,1.6885
126.77,1.712
127.98,1.7382
130.01,1.7844
130.35,1.7927
132.73,1.8518
133.04,1.8595
135.1,1.9156
135.9,1.9382
137.47,1.9843
138.65,2.0198
139.85,2.0578
141.32,2.1052
142.22,2.135
143.96,2.1943
144.6,2.2162
146.6,2.2867
146.97,2.3004
149.26,2.3834
149.34,2.3862
151.72,2.474
151.98,2.4837
154.09,2.5627
154.78,2.5888
156.46,2.6522
157.67,2.6984
158.84,2.7422
160.67,2.8119
161.21,2.8327
163.59,2.9228
163.79,2.9309
165.96,3.013
167.05,3.0549
168.33,3.1038
170.44,3.1835
170.71,3.1937
173.08,3.284
173.98,3.3182
175.45,3.3744
177.64,3.4578
177.83,3.4658
180.2,3.5563
181.44,3.6041
182.58,3.6484
184.95,3.7411
185.34,3.7566
187.32,3.8353
189.32,3.9147
189.7,3.9301
192.07,4.0281
193.35,4.0804
194.44,4.1267
196.82,4.2286
197.38,4.2521
199.19,4.3331
201.38,4.432
201.57,4.4412
203.94,4.553
205.31,4.6196
206.31,4.6698
208.69,4.7918
209.14,4.8139
211.06,4.9193
212.84,5.0176
213.43,5.0536
215.81,5.194
216.39,5.2288
218.18,5.3444
219.8,5.45
220.56,5.503
222.93,5.6715
223.05,5.6807
225.3,5.8546
226.15,5.9197
227.68,6.0506
229.07,6.1702
230.05,6.2633
231.8,6.4313
232.42,6.4968
234.33,6.7019
234.8,6.7608
236.62,6.9855
237.17,7.0648
238.65,7.2795
239.55,7.4388
240.38,7.5875
241.79,7.9086
241.92,7.9488
242.85,8.2414
243.53,8.5901
243.82,8.9516
243.71,9.3304
243.2,9.7252
242.3,10.134
241.92,10.259
241.01,10.563
239.55,10.957
239.36,11.008
237.38,11.474
237.17,11.516
235.1,11.959
234.8,12.017
232.56,12.462
232.42,12.488
230.05,12.942
229.8,12.99
227.68,13.387
226.89,13.539
225.3,13.832
223.86,14.109
222.93,14.286
220.77,14.706
220.56,14.747
218.18,15.22
217.65,15.325
215.81,15.707
214.54,15.973
213.43,16.211
211.44,16.649
211.06,16.734
208.69,17.282
208.38,17.35
206.31,17.852
205.36,18.084
203.94,18.446
202.37,18.845
201.57,19.063
199.4,19.643
199.19,19.701
196.82,20.366
196.42,20.474
194.44,21.043
193.41,21.335
192.07,21.737
190.33,22.238
189.7,22.428
187.32,23.115
187.11,23.174
184.95,23.807
183.7,24.155
182.58,24.479
180.2,25.125
180.02,25.177
177.83,25.763
175.99,26.236
175.45,26.375
173.08,26.977
171.57,27.346
170.71,27.555
168.33,28.132
166.78,28.504
165.96,28.695
163.59,29.262
161.72,29.703
161.21,29.82
158.84,30.395
156.5,30.96
156.46,30.967
154.09,31.557
151.72,32.151
151.28,32.263
149.34,32.764
146.97,33.381
146.06,33.628
144.6,34.017
142.22,34.658
140.81,35.051
139.85,35.31
137.47,35.967
135.47,36.526
135.1,36.627
132.73,37.299
130.35,37.958
129.97,38.072
127.98,38.628
125.61,39.273
124.12,39.673
123.23,39.912
120.86,40.541
118.48,41.134
117.6,41.352
116.11,41.716
113.74,42.257
111.36,42.756
109.61,43.102
108.99,43.221
106.62,43.632
104.24,43.984
101.87,44.279
99.495,44.494
97.121,44.648
94.748,44.699
92.374,44.668
90.0,44.525

