#: table_doi: 10.17182/hepdata.91374.v1/t89
#: name: Figure 46ab
#: description: Observed and Expected upper cross-section limits for direct selectron scenarios.
#: data_file: figure_46ab.yaml
#: keyword reactions: P P --> SELECTRON SELECTRON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,40.0,0.92876
100.0,30.0,0.83114
100.0,20.0,0.36233
100.0,10.0,0.10564
100.0,5.0,0.11558
100.0,2.0,0.22926
100.0,1.0,0.71465
100.0,0.7,4.4592
100.0,0.5,9.025
125.0,20.0,0.24457
125.0,10.0,0.084889
125.0,5.0,0.076824
125.0,2.0,0.16651
125.0,1.0,0.45066
125.0,0.7,6.075
125.0,40.0,0.46778
125.0,30.0,0.58281
150.0,40.0,0.39078
150.0,30.0,0.34256
150.0,25.7,0.19035
150.0,20.0,0.12608
150.0,10.0,0.054622
150.0,5.0,0.047631
150.0,2.0,0.14179
175.0,40.0,0.24535
175.0,30.0,0.2066
175.0,20.0,0.13053
175.0,10.0,0.037527
175.0,5.0,0.05918
175.0,2.0,0.20146
175.0,1.0,0.47311
200.0,40.0,0.14968
200.0,30.0,0.09336
200.0,20.0,0.11645
200.0,10.0,0.044565
200.0,5.0,0.040193
200.0,2.0,0.14517
200.0,1.0,1.8632
225.0,40.0,0.17288
225.0,30.0,0.10545
225.0,20.0,0.071324
225.0,10.0,0.037263
225.0,5.0,0.037676
225.0,2.0,0.06698
225.0,1.0,0.89787
250.0,20.0,0.053702
250.0,10.0,0.030286
250.0,5.0,0.050422
250.0,2.0,0.19368
300.0,10.0,0.021943
300.0,5.0,0.025055
300.0,2.0,0.10174
50.0,5.0,0.58537
50.0,2.0,1.3928
50.0,1.0,2.612
50.0,0.7,4.3586
50.0,0.5,7.0953
50.0,0.3,78.084
60.0,5.0,0.35313
60.0,2.0,0.80123
60.0,1.0,1.7278
60.0,0.7,2.7362
60.0,0.5,6.314
60.0,0.3,88.017
70.0,5.0,0.20544
70.0,2.0,0.62206
70.0,1.0,1.076
70.0,0.7,4.206
70.0,0.5,13.477
90.0,40.0,1.5081
90.0,20.0,0.35024

$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,40.0,0.81808
100.0,30.0,0.58138
100.0,20.0,0.31965
100.0,10.0,0.11103
100.0,5.0,0.11013
100.0,2.0,0.20212
100.0,1.0,0.84475
100.0,0.7,4.2436
100.0,0.5,9.03
125.0,20.0,0.19631
125.0,10.0,0.083636
125.0,5.0,0.076757
125.0,2.0,0.16379
125.0,1.0,0.59073
125.0,0.7,7.9759
125.0,40.0,0.37456
125.0,30.0,0.37172
150.0,40.0,0.33873
150.0,30.0,0.24883
150.0,25.7,0.1662
150.0,20.0,0.12589
150.0,10.0,0.053654
150.0,5.0,0.043083
150.0,2.0,0.13883
175.0,40.0,0.27178
175.0,30.0,0.14207
175.0,20.0,0.1157
175.0,10.0,0.038126
175.0,5.0,0.055276
175.0,2.0,0.18285
175.0,1.0,0.61169
200.0,40.0,0.13492
200.0,30.0,0.080071
200.0,20.0,0.079104
200.0,10.0,0.041597
200.0,5.0,0.03554
200.0,2.0,0.17587
200.0,1.0,2.1132
225.0,40.0,0.14158
225.0,30.0,0.11108
225.0,20.0,0.057412
225.0,10.0,0.035779
225.0,5.0,0.037483
225.0,2.0,0.079283
225.0,1.0,1.189
250.0,20.0,0.043454
250.0,10.0,0.030119
250.0,5.0,0.044109
250.0,2.0,0.21718
300.0,10.0,0.022497
300.0,5.0,0.024154
300.0,2.0,0.12238
50.0,5.0,0.69908
50.0,2.0,1.2118
50.0,1.0,2.2686
50.0,0.7,4.6977
50.0,0.5,8.7171
50.0,0.3,90.313
60.0,5.0,0.37818
60.0,2.0,0.71142
60.0,1.0,1.6486
60.0,0.7,3.1872
60.0,0.5,8.0128
60.0,0.3,119.52
70.0,5.0,0.22917
70.0,2.0,0.48401
70.0,1.0,1.0588
70.0,0.7,5.1445
70.0,0.5,17.109
90.0,40.0,1.0742
90.0,20.0,0.34788

