#: table_doi: 10.17182/hepdata.91374.v1/t42
#: name: Figure 31b
#: description: Efficiency for the N2C1m higgsino process in the SR-E-high region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_31b.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.47894
100.0,20.0,0.4835
101.5,1.5,0.44828
102.0,2.0,0.47197
103.0,3.0,0.45885
105.0,5.0,0.4337
110.0,10.0,0.38868
110.0,30.0,0.47074
115.0,15.0,0.40874
120.0,20.0,0.42222
120.0,60.0,0.53247
120.0,40.0,0.4684
126.5,1.5,0.60497
127.0,2.0,0.46319
128.0,3.0,0.49077
130.0,30.0,0.46857
130.0,5.0,0.45064
135.0,10.0,0.41034
140.0,40.0,0.46643
140.0,15.0,0.43034
140.0,60.0,0.42223
145.0,20.0,0.43806
152.0,2.0,0.46329
153.0,3.0,0.4804
155.0,30.0,0.43146
155.0,5.0,0.46662
160.0,60.0,0.60512
160.0,10.0,0.42437
165.0,40.0,0.44852
165.0,15.0,0.43437
170.0,20.0,0.38382
178.0,3.0,0.39047
180.0,30.0,0.42376
180.0,5.0,0.46688
185.0,10.0,0.38076
190.0,40.0,0.46458
190.0,15.0,0.39034
195.0,20.0,0.41892
202.0,2.0,0.45992
203.0,3.0,0.51488
205.0,5.0,0.44904
210.0,10.0,0.41867
215.0,15.0,0.424
220.0,20.0,0.39414
230.0,30.0,0.44729
230.0,5.0,0.40024
235.0,10.0,0.40037
240.0,40.0,0.44306
240.0,15.0,0.4654
252.0,2.0,0.40973
253.0,3.0,0.44167
255.0,5.0,0.44939
260.0,10.0,0.40739
265.0,15.0,0.41895
270.0,20.0,0.45458
280.0,30.0,0.40897
290.0,40.0,0.4545
81.5,1.5,0.43813
82.0,2.0,0.44553
83.0,3.0,0.47589
85.0,5.0,0.46246
90.0,10.0,0.46145
95.0,15.0,0.42581

