#: table_doi: 10.17182/hepdata.91374.v1/t18
#: name: Figure 16b RH selectron Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct RH selectron production.
#: data_file: figure_16b_rh_selectron_observed.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,2.1722
51.826,2.2756
52.525,2.3158
53.853,2.3911
55.05,2.4598
55.978,2.5125
57.576,2.6038
58.206,2.6394
60.101,2.7485
60.54,2.7733
62.626,2.8933
62.98,2.9141
65.151,3.0402
65.522,3.0613
67.677,3.1886
68.157,3.2166
70.202,3.3396
70.873,3.3799
72.727,3.4938
73.65,3.5506
75.252,3.6534
76.464,3.7308
77.778,3.8186
79.289,3.9201
80.303,3.9912
82.091,4.1181
82.828,4.1745
84.837,4.3271
85.353,4.3692
87.488,4.5457
87.879,4.5814
90.006,4.7764
90.404,4.8173
92.354,5.0188
92.929,5.0863
94.495,5.2723
95.454,5.4075
96.39,5.5399
97.98,5.817
98.003,5.821
99.347,6.115
100.36,6.4254
100.51,6.4953
101.05,6.7515
101.41,7.0925
101.43,7.4525
101.12,7.8289
100.51,8.2016
100.47,8.2262
99.528,8.6437
98.277,9.0803
97.98,9.1664
96.775,9.5411
95.454,9.8992
95.02,10.025
93.057,10.532
92.929,10.563
90.927,11.066
90.404,11.187
88.644,11.628
87.879,11.806
86.237,12.215
85.353,12.425
83.733,12.835
82.828,13.053
81.154,13.486
80.303,13.696
78.52,14.168
77.778,14.358
75.848,14.887
75.252,15.045
73.15,15.639
72.727,15.758
70.439,16.432
70.202,16.501
67.725,17.266
67.677,17.278
65.151,18.097
65.02,18.138
62.626,18.954
62.33,19.059
60.101,19.861
59.658,20.026
57.576,20.816
57.011,21.038
55.05,21.832
54.394,22.105
52.525,22.909
51.812,23.227
50.0,24.055

