#: table_doi: 10.17182/hepdata.91374.v1/t92
#: name: Table 18
#: description: Number of signal events in SR-E-1L1T for the (m($\tilde{\chi}_{2}^{0}$),m($\tilde{\chi}_{1}^{0}$)) = (155 GeV, 150 GeV) Higgsino signal model at different stages of selection before and after weighting events to correspond to 140/fb.
#: data_file: table_18.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
Selection,Raw Events,Weighted Events
Initial number of events ($\mathcal{L}\times\sigma$),--,256690.0
Initial number of events ($\mathcal{L}\times\sigma_{\geq 1 \textrm{jet}}$),--,59885.0
Initial number of events ($\mathcal{L}\times\sigma_{\geq 1 \textrm{jet}}\times\mathcal{B}$),--,5909.0
Generator Filters,1800000,3141.05
$E_{\text{T}}^{\text{miss}}$ trigger,75111,1216.93
1 lepton and $\geq$ 1 track,27501,443.08
veto $3 \text{GeV} < m_{\ell\ell} < 3.2 \text{GeV}$,27324,440.39
Lepton author 16 veto,27137,437.09
${E_{\mathrm{T}}^{\mathrm{miss}}} > 200$ GeV,11486,178.79
"${\min(\Delta\phi(\mathrm{any~jet},\mathbf{p}_{\mathrm{T}}^{\mathrm{miss}}))} > 0.4$",10931,170.79
"${\Delta\phi(j_1,\mathbf{p}_{\mathrm{T}}^{\mathrm{miss}})} > 2.0$",10813,169.33
$0.5 < m_{\ell \text{track}} < 5$ GeV,1009,15.3
$\Delta R_{\ell \text{track}} >$ 0.05,1009,15.3
Number of jets $\geq$ 1,1008,15.29
Leading jet $p_{\mathrm{T}}>100$ GeV,1002,15.21
${E_{\mathrm{T}}^{\mathrm{miss}}}/{H_{\mathrm{T}}^{\smash{\mathrm{lep}}}}>30$,568,8.6
$\Delta R_{\ell \text{track}} <$ 1.5,554,8.4
Lepton $p_{\mathrm{T}}<10$ GeV,525,7.88
Track $p_{\mathrm{T}}<5$ GeV,525,7.88
"$\Delta \phi(\ell, E_{\text{T}}^{\text{miss}}) <$ 1.0",405,5.81
Same flavor lepton-track pair,391,5.62
Opposite charge lepton-track pair,377,5.39
$m_{\ell \text{track}} < 5$ GeV,377,5.39
$m_{\ell \text{track}} < 4$ GeV,351,5.03
$m_{\ell \text{track}} < 3$ GeV,257,3.66
$m_{\ell \text{track}} < 2$ GeV,105,1.55
$m_{\ell \text{track}} < 1.5$ GeV,39,0.55
$m_{\ell \text{track}} < 1$ GeV,0,0.0

