#: table_doi: 10.17182/hepdata.91374.v1/t20
#: name: Figure 28b
#: description: Efficiency for the C1C1 higgsino process in the SR-E-high region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_28b.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.48533
100.0,20.0,0.43097
101.5,1.5,0.0
102.0,2.0,0.34219
103.0,3.0,0.4708
105.0,5.0,0.41108
110.0,10.0,0.36967
110.0,30.0,0.38979
115.0,15.0,0.41489
120.0,20.0,0.46369
120.0,60.0,0.42633
120.0,40.0,0.45534
126.5,1.5,0.0
127.0,2.0,0.52313
128.0,3.0,0.47384
130.0,30.0,0.42774
130.0,5.0,0.41592
135.0,10.0,0.40335
140.0,40.0,0.45401
140.0,15.0,0.43088
140.0,60.0,0.44421
145.0,20.0,0.42261
152.0,2.0,0.68565
153.0,3.0,0.51847
155.0,30.0,0.44818
155.0,5.0,0.41911
160.0,60.0,0.51675
160.0,10.0,0.37229
165.0,40.0,0.44778
165.0,15.0,0.39841
170.0,20.0,0.39056
178.0,3.0,0.36868
180.0,30.0,0.44797
180.0,5.0,0.40644
185.0,10.0,0.46702
190.0,40.0,0.43997
190.0,15.0,0.33911
195.0,20.0,0.41414
202.0,2.0,0.0
203.0,3.0,0.51539
205.0,5.0,0.47453
210.0,10.0,0.42807
215.0,15.0,0.40562
220.0,20.0,0.44191
230.0,30.0,0.45752
230.0,5.0,0.54127
235.0,10.0,0.44022
240.0,40.0,0.47891
240.0,15.0,0.52179
252.0,2.0,0.0
253.0,3.0,0.20747
255.0,5.0,0.43704
260.0,10.0,0.36165
265.0,15.0,0.39052
270.0,20.0,0.42584
280.0,30.0,0.45623
290.0,40.0,0.46586
81.5,1.5,0.0
82.0,2.0,0.3159
83.0,3.0,0.42991
85.0,5.0,0.37748
90.0,10.0,0.39865
95.0,15.0,0.45029

