#: table_doi: 10.17182/hepdata.91374.v1/t76
#: name: Figure 36d
#: description: Efficiency for the N2C1m VBF higgsino process in the SR-VBF-low region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_36d.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.29644
40.0,3.0,0.2599
40.0,5.0,0.29479
40.0,10.0,0.32507
40.0,20.0,0.41454
40.0,40.0,0.52711
60.0,2.0,0.4616
60.0,3.0,0.46856
60.0,5.0,0.43869
60.0,10.0,0.34675
60.0,20.0,0.34951
60.0,40.0,0.50614
80.0,2.0,0.43015
80.0,3.0,0.43902
80.0,5.0,0.43565
80.0,10.0,0.36355
80.0,20.0,0.41273
80.0,40.0,0.36732
120.0,2.0,0.35493
120.0,3.0,0.42475
120.0,5.0,0.4617
120.0,10.0,0.40961
120.0,20.0,0.37345
120.0,40.0,0.45186
100.0,2.0,0.39285
100.0,3.0,0.45733
100.0,5.0,0.42204

