#: table_doi: 10.17182/hepdata.91374.v1/t43
#: name: Figure 31c
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1m higgsino process in the SR-E-low region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_31c.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.34808
100.0,20.0,1.056
101.5,1.5,0.0
102.0,2.0,0.00099306
103.0,3.0,0.014008
105.0,5.0,0.16099
110.0,10.0,0.94218
110.0,30.0,0.72046
115.0,15.0,1.3433
120.0,20.0,1.2404
120.0,60.0,0.275
120.0,40.0,0.53957
126.5,1.5,0.0
127.0,2.0,0.00061187
128.0,3.0,0.011797
130.0,30.0,0.94597
130.0,5.0,0.18041
135.0,10.0,0.96525
140.0,40.0,0.66573
140.0,15.0,1.324
140.0,60.0,0.33787
145.0,20.0,1.3455
152.0,2.0,0.00065954
153.0,3.0,0.0077226
155.0,30.0,1.0911
155.0,5.0,0.099835
160.0,60.0,0.42746
160.0,10.0,1.0201
165.0,40.0,0.88359
165.0,15.0,1.8868
170.0,20.0,1.683
178.0,3.0,0.0093388
180.0,30.0,1.369
180.0,5.0,0.087795
185.0,10.0,0.97781
190.0,40.0,0.93133
190.0,15.0,1.8092
195.0,20.0,1.9369
202.0,2.0,0.00062891
203.0,3.0,0.0050514
205.0,5.0,0.077348
210.0,10.0,1.0373
215.0,15.0,1.754
220.0,20.0,2.0214
230.0,30.0,1.5275
230.0,5.0,0.11503
235.0,10.0,0.87447
240.0,40.0,1.2211
240.0,15.0,1.7055
252.0,2.0,8.8152e-05
253.0,3.0,0.0056521
255.0,5.0,0.059881
260.0,10.0,0.88571
265.0,15.0,1.7584
270.0,20.0,2.0312
280.0,30.0,2.0119
290.0,40.0,1.1843
81.5,1.5,0.0
82.0,2.0,0.0018977
83.0,3.0,0.020829
85.0,5.0,0.15939
90.0,10.0,0.89649
95.0,15.0,1.4222

