#: table_doi: 10.17182/hepdata.91374.v1/t1
#: name: Figure 14a Expected
#: description: Expected 95% CL exclusion sensitivity for simplified models of direct higgsino production.
#: data_file: figure_14a_expected.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]"
81.0,1.6869
82.907,1.712
83.111,1.7147
85.222,1.7434
87.333,1.7738
88.048,1.7844
89.444,1.8055
91.556,1.8382
92.869,1.8595
93.667,1.8728
95.778,1.909
97.428,1.9382
97.889,1.9467
100.0,1.9861
101.77,2.0198
102.11,2.0267
104.22,2.0697
105.92,2.1052
106.33,2.114
108.44,2.1607
109.92,2.1943
110.56,2.209
112.67,2.26
113.76,2.2867
114.78,2.3126
116.89,2.3681
117.48,2.3834
119.0,2.4255
121.06,2.4837
121.11,2.4854
123.22,2.5486
124.53,2.5888
125.33,2.6146
127.44,2.6841
127.87,2.6984
129.56,2.7568
131.1,2.8119
131.67,2.8333
133.78,2.9141
134.22,2.9309
135.89,2.9992
137.22,3.0549
138.0,3.0889
140.11,3.1835
140.11,3.1835
142.22,3.284
142.91,3.3182
144.33,3.3908
145.61,3.4578
146.44,3.5043
148.22,3.6041
148.56,3.6241
150.67,3.7506
150.75,3.7566
152.78,3.886
153.22,3.9147
154.89,4.029
155.63,4.0804
157.0,4.1793
157.99,4.2521
159.11,4.3381
160.31,4.432
161.22,4.5061
162.6,4.6196
163.33,4.6817
164.87,4.8139
165.44,4.8663
167.12,5.0176
167.56,5.0582
169.36,5.2288
169.67,5.259
171.6,5.45
171.78,5.4689
173.83,5.6807
173.89,5.6859
176.0,5.9129
176.06,5.9197
178.11,6.1489
178.3,6.1702
180.22,6.3959
180.51,6.4313
182.33,6.6558
182.71,6.7019
184.44,6.9279
184.88,6.9855
186.56,7.2194
187.0,7.2795
188.67,7.5318
189.04,7.5875
190.78,7.8741
190.98,7.9086
192.8,8.2414
192.89,8.2604
194.48,8.5901
195.0,8.7157
195.98,8.9516
197.11,9.2854
197.26,9.3304
198.34,9.7252
199.17,10.134
199.22,10.172
199.77,10.563
200.12,11.008
200.22,11.474
200.08,11.959
199.72,12.462
199.22,12.912
199.14,12.99
198.36,13.539
197.39,14.109
197.11,14.253
196.26,14.706
195.0,15.304
194.96,15.325
193.51,15.973
192.89,16.233
191.93,16.649
190.78,17.112
190.2,17.35
188.67,17.956
188.35,18.084
186.56,18.776
186.38,18.845
184.44,19.579
184.28,19.643
182.33,20.366
182.06,20.474
180.22,21.145
179.71,21.335
178.11,21.913
177.24,22.238
176.0,22.683
174.65,23.174
173.89,23.448
171.95,24.155
171.78,24.216
169.67,24.986
169.16,25.177
167.56,25.757
166.28,26.236
165.44,26.546
163.33,27.34
163.32,27.346
161.22,28.151
160.35,28.504
159.11,28.987
157.33,29.703
157.0,29.84
154.89,30.711
154.32,30.96
152.78,31.616
151.31,32.263
150.67,32.546
148.56,33.512
148.31,33.628
146.44,34.514
145.36,35.051
144.33,35.555
142.43,36.526
142.22,36.635
140.11,37.757
139.54,38.072
138.0,38.931
136.69,39.673
135.89,40.142
133.87,41.352
133.78,41.41
131.67,42.727
131.09,43.102
129.56,44.106
128.34,44.916
127.44,45.53
125.6,46.817
125.33,47.0
123.22,48.54
122.88,48.786
121.11,50.13
120.17,50.851
119.0,51.773
117.45,53.003
116.89,53.456
114.78,55.195
114.73,55.233
112.67,57.003
112.0,57.571
110.56,58.844
109.25,60.007

