#: table_doi: 10.17182/hepdata.77891.v5/t33
#: name: Exclusion contour(exp.) 2  : Meff+RJR
#: description: Expected 95% CL exclusion contours from searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay directly into the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{0}$.
#: data_file: data33.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
2040.0,0.0
2036.0,20.2
2032.0,40.4
2030.0,60.61
2029.0,80.81
2029.0,101.0
2029.0,121.2
2030.0,141.4
2030.0,161.6
2030.0,181.8
2029.0,202.0
2027.0,222.2
2023.0,242.4
2022.0,247.8
2019.0,262.6
2014.0,282.8
2010.0,303.0
2005.0,323.2
2000.0,343.4
1996.0,363.6
1996.0,363.9
1992.0,383.8
1989.0,404.0
1990.0,424.2
1989.0,444.4
1986.0,464.6
1980.0,484.8
1972.0,505.1
1970.0,510.6
1964.0,525.3
1956.0,545.5
1949.0,565.7
1943.0,581.5
1942.0,585.9
1934.0,606.1
1925.0,626.3
1917.0,637.7
1912.0,646.5
1896.0,666.7
1891.0,672.0
1881.0,686.9
1871.0,707.1
1865.0,723.9
1863.0,727.3
1855.0,747.5
1844.0,767.7
1838.0,775.8
1830.0,787.9
1814.0,808.1
1812.0,810.4
1798.0,828.3
1786.0,842.6
1781.0,848.5
1760.0,868.0
1759.0,868.7
1733.0,886.0
1729.0,888.9
1707.0,902.9
1700.0,909.1
1681.0,929.3
1681.0,929.8
1661.0,949.5
1655.0,955.6
1637.0,969.7
1628.0,976.0
1604.0,989.9
1602.0,990.9
1576.0,992.7
1549.0,991.7
1523.0,990.0
1522.0,989.9
1497.0,987.9
1471.0,985.5
1444.0,982.5
1418.0,978.8
1392.0,974.7
1366.0,970.3
1362.0,969.7
1339.0,965.7
1313.0,960.5
1287.0,954.6
1268.0,949.5
1261.0,947.5
1234.0,939.3
1208.0,929.4
1208.0,929.3
1182.0,918.5
1157.0,909.1
1156.0,908.5
1129.0,906.8
1121.0,909.1
1103.0,913.8
1077.0,921.3
1052.0,929.3
1051.0,929.8
1035.0,949.5
1048.0,969.7
1024.0,984.5
1012.0,969.7
1017.0,949.5
1012.0,929.3
998.0,921.5
980.7,909.1
971.7,905.7
945.5,892.5
940.9,888.9
919.2,872.8
914.6,868.7
893.4,848.5
892.9,848.0
868.7,828.3
866.7,827.1
840.4,812.1
834.4,808.1
814.1,800.7
798.0,787.9
789.7,767.7
787.9,764.3
775.5,747.5
761.6,733.1
754.8,727.3
735.4,716.8
718.5,707.1
709.1,702.7
695.2,686.9
685.0,666.7
682.8,662.7
671.0,646.5
656.6,631.7
650.2,626.3
630.3,614.3
616.8,606.1
604.0,600.9
587.2,585.9
582.5,565.7
577.8,555.1
570.2,545.5
555.2,525.3
551.5,520.8
535.9,505.1
525.3,494.4
516.0,484.8
499.0,466.6
496.9,464.6
477.1,444.4
472.7,440.4
452.9,424.2
446.5,420.4
420.2,404.8
418.5,404.0

