#: table_doi: 10.17182/hepdata.77891.v5/t41
#: name: Exclusion contour(obs.) 3  : Meff+RJR
#: description: Observed 95% CL exclusion contours from searches on the squark and lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay via an intermediate lightest chargino to the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{\pm} \rightarrow q W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data41.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
1066.0,222.2
1058.0,242.4
1051.0,256.5
1047.0,262.6
1031.0,282.8
1030.0,283.7
1012.0,303.0
1010.0,305.6
995.8,323.2
989.9,332.5
982.3,343.4
971.9,363.6
969.7,370.2
964.8,383.8
960.9,404.0
955.7,424.2
949.5,432.5
929.3,443.1
909.1,431.0
904.1,424.2
898.7,404.0
891.6,383.8
888.9,380.0
875.3,363.6
868.7,358.9
848.5,347.7
832.6,343.4
828.3,342.3
822.3,343.4
808.1,345.6
787.9,352.4
767.7,359.6
754.5,363.6
747.5,365.7
727.3,369.3
707.1,369.7
686.9,367.5
666.7,364.0
662.9,363.6
646.5,362.0
636.5,363.6
626.3,365.5
606.1,381.9
604.9,383.8
596.3,404.0
594.4,424.2
600.9,444.4
606.1,451.2
626.3,464.1
627.6,464.6
646.5,473.2
661.2,484.8
666.7,492.9
672.8,505.1
675.1,525.3
667.0,545.5
666.7,545.7
646.5,554.8
626.3,554.6
606.1,547.0
603.8,545.5
585.9,527.7
583.4,525.3
565.7,506.5
563.5,505.1
545.5,496.0
525.3,488.7
521.4,484.8
505.1,465.1
504.6,464.6
489.0,444.4
484.8,439.7
464.6,424.4
464.2,424.2
444.4,417.8
424.2,413.8
410.7,404.0
404.0,398.6
383.8,384.1
383.6,383.8
366.4,363.6
363.6,360.9
343.4,344.3
342.5,343.4
323.2,325.6
320.8,323.2
303.0,304.6
301.3,303.0

