#: table_doi: 10.17182/hepdata.81626.v1/t37
#: name: Acceptance/Efficiency 8
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma j}_{H}$ for the signal models of the photon+jets GGM grid.
#: data_file: data37.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],EFFICIENCY
1336.0,147.0,0.53478
1336.0,191.0,0.36091
1336.0,239.0,0.36229
1336.0,442.0,0.67794
1336.0,652.0,0.69994
1336.0,862.0,0.80007
1336.0,1073.0,0.86024
1336.0,1230.0,0.87095
1336.0,1283.0,0.92695
1429.0,147.0,0.65811
1429.0,191.0,0.43083
1429.0,239.0,0.36596
1429.0,442.0,0.64913
1429.0,652.0,0.70888
1429.0,862.0,0.71816
1429.0,1073.0,0.80357
1429.0,1283.0,0.86413
1429.0,1325.0,0.85153
1429.0,1377.0,0.89767
1522.0,147.0,0.41075
1522.0,191.0,0.52496
1522.0,239.0,0.64714
1522.0,442.0,0.75005
1522.0,652.0,0.72988
1522.0,862.0,0.72963
1522.0,1073.0,0.79079
1522.0,1283.0,0.83595
1522.0,1414.0,0.84733
1522.0,1471.0,0.85839
1614.0,147.0,0.46241
1614.0,191.0,0.78815
1614.0,239.0,0.40086
1614.0,442.0,0.74626
1614.0,652.0,0.69875
1614.0,862.0,0.80357
1614.0,1073.0,0.7947
1614.0,1283.0,0.81593
1614.0,1513.0,0.87502
1614.0,1555.0,0.8557
1705.0,147.0,0.42704
1705.0,191.0,0.33814
1705.0,239.0,0.55936
1705.0,442.0,0.62725
1705.0,652.0,0.811
1705.0,862.0,0.7463
1705.0,1073.0,0.79318
1705.0,1283.0,0.79717
1705.0,1492.0,0.82804
1705.0,1597.0,0.88781
1705.0,1649.0,0.8709
1795.0,147.0,0.60889
1795.0,191.0,0.48107
1795.0,239.0,0.48437
1795.0,442.0,0.6995
1795.0,652.0,0.76237
1795.0,862.0,0.8156
1795.0,1073.0,0.78039
1795.0,1283.0,0.81212
1795.0,1492.0,0.79544
1795.0,1691.0,0.87258
1795.0,1743.0,0.8726
1885.0,147.0,0.42057
1885.0,191.0,0.50082
1885.0,239.0,0.43084
1885.0,442.0,0.68765
1885.0,652.0,0.76005
1885.0,862.0,0.75721
1885.0,1073.0,0.80924
1885.0,1283.0,0.7739
1885.0,1492.0,0.80771
1885.0,1701.0,0.85797
1885.0,1785.0,0.86096
1885.0,1826.0,0.86377
1974.0,147.0,0.52615
1974.0,191.0,0.44295
1974.0,239.0,0.66531
1974.0,442.0,0.55741
1974.0,652.0,0.72703
1974.0,862.0,0.81652
1974.0,1073.0,0.75497
1974.0,1283.0,0.77977
1974.0,1492.0,0.82213
1974.0,1701.0,0.85368
1974.0,1868.0,0.8487
1974.0,1920.0,0.8529
2063.0,147.0,0.41156
2063.0,191.0,0.45945
2063.0,239.0,0.45201
2063.0,442.0,0.70943
2063.0,652.0,0.76365
2063.0,862.0,0.7486
2063.0,1073.0,0.79343
2063.0,1283.0,0.79298
2063.0,1492.0,0.80042
2063.0,1701.0,0.84842
2063.0,1956.0,0.87176
2063.0,2008.0,0.83009
2151.0,147.0,0.46378
2151.0,191.0,0.56394
2151.0,239.0,0.48167
2151.0,442.0,0.67521
2151.0,652.0,0.76263
2151.0,862.0,0.7694
2151.0,1073.0,0.79124
2151.0,1283.0,0.80303
2151.0,1492.0,0.79935
2151.0,1701.0,0.86177
2151.0,1909.0,0.85328
2151.0,2039.0,0.87267
2151.0,2091.0,0.89476
2239.0,147.0,0.43988
2239.0,191.0,0.45227
2239.0,239.0,0.45246
2239.0,442.0,0.74095
2239.0,652.0,0.7453
2239.0,862.0,0.72097
2239.0,1073.0,0.80931
2239.0,1283.0,0.76785
2239.0,1492.0,0.76479
2239.0,1701.0,0.85861
2239.0,1909.0,0.84314
2239.0,2127.0,0.89028
2239.0,2178.0,0.84666
2326.0,147.0,0.40246
2326.0,191.0,0.38166
2326.0,239.0,0.45729
2326.0,442.0,0.61383
2326.0,652.0,0.72614
2326.0,862.0,0.81258
2326.0,1073.0,0.81882
2326.0,1283.0,0.80279
2326.0,1492.0,0.79236
2326.0,1701.0,0.82947
2326.0,1909.0,0.83055
2326.0,2117.0,0.85313
2326.0,2214.0,0.8925
2326.0,2265.0,0.87494
2412.0,147.0,0.44176
2412.0,191.0,0.422
2412.0,239.0,0.45011
2412.0,442.0,0.595
2412.0,652.0,0.70477
2412.0,862.0,0.75792
2412.0,1073.0,0.83089
2412.0,1283.0,0.78079
2412.0,1492.0,0.74862
2412.0,1701.0,0.81166
2412.0,1909.0,0.82564
2412.0,2117.0,0.82733
2412.0,2296.0,0.87031
2412.0,2347.0,0.87929

