#: table_doi: 10.17182/hepdata.81626.v1/t37
#: name: Acceptance/Efficiency 8
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma j}_{H}$ for the signal models of the photon+jets GGM grid.
#: data_file: data37.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],ACCEPTANCE
1336.0,147.0,0.00284
1336.0,191.0,0.00418
1336.0,239.0,0.00437
1336.0,442.0,0.01312
1336.0,652.0,0.02951
1336.0,862.0,0.05423
1336.0,1073.0,0.08713
1336.0,1230.0,0.09408
1336.0,1283.0,0.0926
1429.0,147.0,0.00451
1429.0,191.0,0.00495
1429.0,239.0,0.00726
1429.0,442.0,0.01775
1429.0,652.0,0.0347
1429.0,862.0,0.0701
1429.0,1073.0,0.10137
1429.0,1283.0,0.12489
1429.0,1325.0,0.12183
1429.0,1377.0,0.12
1522.0,147.0,0.00645
1522.0,191.0,0.0081
1522.0,239.0,0.01097
1522.0,442.0,0.02465
1522.0,652.0,0.04776
1522.0,862.0,0.07132
1522.0,1073.0,0.1086
1522.0,1283.0,0.15226
1522.0,1414.0,0.15165
1522.0,1471.0,0.14369
1614.0,147.0,0.00961
1614.0,191.0,0.00944
1614.0,239.0,0.01307
1614.0,442.0,0.02764
1614.0,652.0,0.05057
1614.0,862.0,0.08268
1614.0,1073.0,0.12215
1614.0,1283.0,0.17898
1614.0,1513.0,0.18286
1614.0,1555.0,0.16797
1705.0,147.0,0.01374
1705.0,191.0,0.0133
1705.0,239.0,0.01785
1705.0,442.0,0.03274
1705.0,652.0,0.06199
1705.0,862.0,0.09938
1705.0,1073.0,0.13057
1705.0,1283.0,0.18385
1705.0,1492.0,0.20541
1705.0,1597.0,0.20387
1705.0,1649.0,0.18634
1795.0,147.0,0.01443
1795.0,191.0,0.01737
1795.0,239.0,0.02186
1795.0,442.0,0.03774
1795.0,652.0,0.06695
1795.0,862.0,0.10364
1795.0,1073.0,0.14373
1795.0,1283.0,0.18803
1795.0,1492.0,0.23736
1795.0,1691.0,0.22459
1795.0,1743.0,0.20061
1885.0,147.0,0.01664
1885.0,191.0,0.01691
1885.0,239.0,0.02428
1885.0,442.0,0.04145
1885.0,652.0,0.07063
1885.0,862.0,0.12095
1885.0,1073.0,0.14972
1885.0,1283.0,0.19068
1885.0,1492.0,0.2482
1885.0,1701.0,0.25508
1885.0,1785.0,0.24431
1885.0,1826.0,0.22902
1974.0,147.0,0.01845
1974.0,191.0,0.0218
1974.0,239.0,0.02557
1974.0,442.0,0.04263
1974.0,652.0,0.07814
1974.0,862.0,0.12124
1974.0,1073.0,0.16474
1974.0,1283.0,0.20225
1974.0,1492.0,0.24158
1974.0,1701.0,0.27975
1974.0,1868.0,0.25977
1974.0,1920.0,0.24121
2063.0,147.0,0.02123
2063.0,191.0,0.0269
2063.0,239.0,0.03023
2063.0,442.0,0.04766
2063.0,652.0,0.08856
2063.0,862.0,0.12565
2063.0,1073.0,0.16591
2063.0,1283.0,0.19793
2063.0,1492.0,0.23148
2063.0,1701.0,0.27972
2063.0,1956.0,0.27465
2063.0,2008.0,0.2467
2151.0,147.0,0.02601
2151.0,191.0,0.02886
2151.0,239.0,0.03131
2151.0,442.0,0.0541
2151.0,652.0,0.09083
2151.0,862.0,0.13425
2151.0,1073.0,0.17036
2151.0,1283.0,0.20307
2151.0,1492.0,0.24084
2151.0,1701.0,0.27029
2151.0,1909.0,0.30615
2151.0,2039.0,0.29233
2151.0,2091.0,0.26487
2239.0,147.0,0.02776
2239.0,191.0,0.03263
2239.0,239.0,0.03967
2239.0,442.0,0.06259
2239.0,652.0,0.09252
2239.0,862.0,0.14092
2239.0,1073.0,0.18091
2239.0,1283.0,0.20364
2239.0,1492.0,0.23748
2239.0,1701.0,0.26364
2239.0,1909.0,0.32769
2239.0,2127.0,0.29802
2239.0,2178.0,0.27543
2326.0,147.0,0.03236
2326.0,191.0,0.03293
2326.0,239.0,0.03767
2326.0,442.0,0.06879
2326.0,652.0,0.10153
2326.0,862.0,0.13909
2326.0,1073.0,0.1701
2326.0,1283.0,0.2118
2326.0,1492.0,0.24127
2326.0,1701.0,0.25906
2326.0,1909.0,0.31142
2326.0,2117.0,0.32755
2326.0,2214.0,0.30479
2326.0,2265.0,0.28881
2412.0,147.0,0.03201
2412.0,191.0,0.03958
2412.0,239.0,0.04363
2412.0,442.0,0.07095
2412.0,652.0,0.10252
2412.0,862.0,0.143
2412.0,1073.0,0.18614
2412.0,1283.0,0.22175
2412.0,1492.0,0.24268
2412.0,1701.0,0.26395
2412.0,1909.0,0.29495
2412.0,2117.0,0.34061
2412.0,2296.0,0.32113
2412.0,2347.0,0.29969
