#: table_doi: 10.17182/hepdata.77891.v5/t45
#: name: Exclusion contour(obs.) 3  : RJR
#: description: Observed 95% CL exclusion contours from RJR-based searches on the squark and lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay via an intermediate lightest chargino to the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{\pm} \rightarrow q W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data45.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
1060.0,222.2
1054.0,242.4
1051.0,250.5
1044.0,262.6
1031.0,282.8
1030.0,283.3
1016.0,303.0
1010.0,310.3
1003.0,323.2
992.1,343.4
989.9,347.3
981.4,363.6
971.3,383.8
969.7,387.3
962.1,404.0
952.9,424.2
949.5,428.8
929.3,442.3
909.1,438.3
888.9,426.3
885.6,424.2
868.7,412.4
855.3,404.0
848.5,399.8
828.3,386.5
824.8,383.8
808.1,373.1
793.8,363.6
787.9,360.2
767.7,348.6
757.8,343.4
747.5,338.3
727.3,329.0
707.4,323.2
707.1,323.1
686.9,317.9
666.7,311.3
647.2,303.0
646.5,302.6
626.3,291.0
612.2,282.8
606.1,278.1
585.9,271.1
565.7,268.2
545.5,266.1
526.0,262.6
525.3,262.5
505.1,249.9
501.9,242.4
495.1,222.2
394.5,222.2
386.7,242.4
404.0,254.9
417.1,262.6
424.2,265.7
444.4,271.1
464.6,275.2
483.0,282.8
484.8,284.7
494.7,303.0
500.5,323.2
505.1,329.5
522.0,343.4
525.3,344.9
545.5,348.4
565.7,356.8
571.5,363.6
582.6,383.8
585.9,394.5
587.9,404.0
592.0,424.2
600.1,444.4
606.1,452.4
622.4,464.6
626.3,466.6
646.5,478.6
653.7,484.8
666.7,501.6
668.9,505.1
674.3,525.3
669.8,545.5
666.7,549.0
646.5,556.6
626.3,554.6
606.1,546.5
604.7,545.5
585.9,525.3
585.9,525.2
572.0,505.1
565.7,498.7
545.5,489.0
530.4,484.8
525.3,483.5
505.1,464.9
504.8,464.6
491.4,444.4
484.8,432.1
479.4,424.2
464.6,404.7
463.3,404.0
444.4,393.8
424.2,395.6
404.0,397.9
383.8,384.2
383.5,383.8
366.4,363.6
363.6,360.8
343.4,344.5
342.2,343.4
323.2,326.8
319.3,323.2
303.0,305.4
300.6,303.0

