#: table_doi: 10.17182/hepdata.77891.v5/t71
#: name: X-section U.L. & best SR 11  : Meff
#: description: Observed 95% CL upper limit on the signal cross-section from Meff-based searches for inclusive squark-gluino production in pMSSM models with $m_{\tilde{\chi}_{1}^0}=695$ GeV.
#: data_file: data71.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK or SQUARK GLUINO or GLUINO GLUINO X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV],Best SR
1000.0,3000.0,SR5j-2000
1000.0,4000.0,SR4j-1400
1000.0,5000.0,SR4j-1000
1000.0,6000.0,SR4j-1000
1500.0,2500.0,SR4j-2200
1500.0,3000.0,SR4j-1800
1500.0,4000.0,SR4j-1800
1500.0,5000.0,SR4j-1800
1500.0,6000.0,SR4j-1800
2000.0,1000.0,SR5j-2000
2000.0,1500.0,SR2j-1600
2000.0,2000.0,SR2j-2800
2000.0,2500.0,SR4j-2600
2000.0,3000.0,SR4j-3000
2000.0,4000.0,SR4j-3000
2000.0,5000.0,SR4j-2600
2000.0,6000.0,SR4j-2600
2500.0,1000.0,SR5j-2000
2500.0,1500.0,SR2j-2000
2500.0,2000.0,SR2j-2800
2500.0,2500.0,SR2j-3600
2500.0,3000.0,SR4j-3000
3000.0,1000.0,SR2j-1200
3000.0,1500.0,SR2j-1600
3000.0,2000.0,SR2j-2800
3000.0,2500.0,SR2j-3600
3000.0,3000.0,SR2j-3600
4000.0,1000.0,SR2j-1200
4000.0,1500.0,SR2j-2000
4000.0,2000.0,SR2j-2800
4000.0,2500.0,SR2j-3600
4000.0,3000.0,SR2j-3600
5000.0,1000.0,SR2j-1200
5000.0,1500.0,SR2j-2000
5000.0,2000.0,SR2j-2800
5000.0,2500.0,SR2j-3600
5000.0,3000.0,SR2j-3600
6000.0,1000.0,SR4j-1400
6000.0,1500.0,SR2j-2000
6000.0,2000.0,SR2j-2800
6000.0,2500.0,SR2j-3600
6000.0,3000.0,SR2j-3600

#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV],CROSS-SECTION UPPER LIMIT 95%CL (FB)
1000.0,3000.0,51.2068
1000.0,4000.0,146.922
1000.0,5000.0,143.304
1000.0,6000.0,158.499
1500.0,2500.0,4.87201
1500.0,3000.0,5.55373
1500.0,4000.0,6.07644
1500.0,5000.0,5.9413
1500.0,6000.0,6.26635
2000.0,1000.0,51.7092
2000.0,1500.0,5.10754
2000.0,2000.0,1.59667
2000.0,2500.0,0.636765
2000.0,3000.0,0.783332
2000.0,4000.0,1.25255
2000.0,5000.0,1.08088
2000.0,6000.0,1.05981
2500.0,1000.0,59.8189
2500.0,1500.0,2.99149
2500.0,2000.0,1.42202
2500.0,2500.0,0.727881
2500.0,3000.0,0.485405
3000.0,1000.0,207.987
3000.0,1500.0,4.8799
3000.0,2000.0,1.35089
3000.0,2500.0,0.626134
3000.0,3000.0,0.473419
4000.0,1000.0,225.189
4000.0,1500.0,3.26762
4000.0,2000.0,1.39257
4000.0,2500.0,0.653744
4000.0,3000.0,0.432148
5000.0,1000.0,218.465
5000.0,1500.0,3.15981
5000.0,2000.0,1.41951
5000.0,2500.0,0.664465
5000.0,3000.0,0.429379
6000.0,1000.0,157.71
6000.0,1500.0,3.25915
6000.0,2000.0,1.55332
6000.0,2500.0,0.651828
6000.0,3000.0,0.441169

