#: table_doi: 10.17182/hepdata.81626.v1/t14
#: name: Exclusion contour (observed) 6
#: description: Observed exclusion limit in the wino-bino mass plane, using the $\mathrm{SR}^{\gamma\gamma}_{W-H}$ analysis for $m_{\tilde{\chi}^{0}_{1}} > 400$ GeV and the $\mathrm{SR}^{\gamma\gamma}_{W-L}$ analysis for $m_{\tilde{\chi}^{0}_{1}}$ < 400$ GeV.
#: data_file: data14.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
#"M(CHARGINO1),M(NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV]
1305,1287.98
1311.24,1286.5
1305,1267.55
1299.67,1249.5
1294.51,1212.5
1288.99,1175.5
1284.9,1138.5
1279.18,1101.5
1275,1073.99
1273.47,1064.5
1272.32,1027.5
1271.39,990.5
1270.46,953.5
1269.77,916.5
1269.53,879.5
1266.94,842.5
1263.48,805.5
1260.02,768.5
1255.79,731.5
1250.29,694.5
1245,659.702
1244.67,657.5
1239.1,620.5
1233.54,583.5
1226.81,546.5
1219.24,509.5
1215,488.762
1211.98,472.5
1205.11,435.5
1185,429.893
1155,421.337
1125,413.322
1095,404.189
1081.81,398.5
1077.71,361.5
1073.33,324.5
1068.03,287.5
1066.59,250.5
1073,213.5
1079.41,176.5
1085.82,139.5
1092.78,102.5
1095,87.8401
1098.67,65.5
1099.04,28.5

