#: table_doi: 10.17182/hepdata.81626.v1/t9
#: name: Exclusion contour (expected) 1
#: description: Expected exclusion limits in the gluino-bino mass plane, using the $\mathrm{SR}^{\gamma\gamma}_{S-H}$ analysis for $m_{\tilde{\chi}^{0}_{1}} > 1600$ GeV and the $\mathrm{SR}^{\gamma\gamma}_{S-L}$ analysis for $m_{\tilde{\chi}^{0}_{1}} < 1600$ GeV.
#: data_file: data9.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GeV],13000.0
#M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
2265,2242.31
2268.35,2241.25
2265,2229.01
2253.31,2181.75
2244.51,2122.25
2235,2078.07
2231.68,2062.75
2220.96,2003.25
2220.52,1943.75
2221.09,1884.25
2221.31,1824.75
2218.51,1765.25
2214.53,1705.75
2210.17,1646.25
2206.16,1586.75
2205,1569.55
2202.34,1527.25
2199.48,1467.75
2196.1,1408.25
2192.73,1348.75
2189.36,1289.25
2186.43,1229.75
2185.22,1170.25
2185.94,1110.75
2186.66,1051.25
2187.38,991.75
2187.07,932.25
2182.82,872.75
2178.72,813.25
2175,759.192
2174.63,753.75
2170.48,694.25
2165.65,634.75
2159.92,575.25
2152.98,515.75
2145.56,456.25
2145,450.651
2140.52,396.75
2139.64,337.25
2138.77,277.75
2141.42,218.25
2145,195.278
2150.8,158.75
2160.15,99.25
2167.57,39.75

