#: table_doi: 10.17182/hepdata.81626.v1/t16
#: name: Exclusion contour (observed) 8
#: description: Observed exclusion limits for the $\mu > 0$ higgsino-bino GGM model explored by the photon+jets analysis.
#: data_file: data16.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
#M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
2040,1950
2046,1916
2046,1876
2046,1836
2046,1796
2046,1756
2048,1718
2046,1682
2040,1648
2032,1616
2023,1584
2015,1552
2006,1521
1999,1488
2000,1450
1996,1416
1987,1384
1977,1354
1969,1322
1960,1291
1960,1258
1960,1218
1959,1178
1958,1140
1958,1100
1957,1060
1958,1022
1958,981.5
1959,942.5
1959,902.5
1957,864.5
1951,830.5
1945,796.5
1938,763.5
1931,730.5
1924,697.5
1917,664.5
1910,631.5
1904,597.9
1894,567.5
1884,536.5
1876,505.5
1867,474.5
1857,444.5
1842,418.6
1828,393.5
1810,371.3
1791,350.5
1775,326.5
1758,302.6
1742,279.3
1726,255.5
1708,233.1
1685,216.5
1662,199.5
1649,172.5
1624,157.8
1596,146.4
1556,146.2
1516,146.1
1476,146
1436,146
1396,145.8
1356,145.7
1346,1294
1366,1314
1386,1334
1406,1354
1426,1374
1446,1394
1466,1414
1486,1434
1506,1454
1525,1474
1545,1494
1566,1514
1586,1534
1606,1554
1626,1574
1646,1594
1666,1614
1686,1634
1706,1654
1726,1674
1746,1694
1766,1714
1786,1734
1806,1754
1826,1774
1846,1794
1866,1814
1886,1834
1906,1853
1926,1873
1946,1893
1966,1913
1987,1932
2007,1952
2028,1960

