#: table_doi: 10.17182/hepdata.77891.v5/t49
#: name: X-section U.L. & best SR 5  : Meff+RJR
#: description: Observed 95% CL upper limit on the signal cross-section from searches in a SUSY scenario where gluinos are produced in pairs and decay via an intermediate lightest chargino to lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{\pm} \rightarrow qq W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data49.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],Best SR
477.0,455.0,SR3j-1300
505.0,425.0,SR3j-1300
545.0,385.0,SR3j-1300
557.0,535.0,SR3j-1300
585.0,505.0,SR3j-1300
625.0,145.0,SR6j-1200
637.0,615.0,SR2j-2100
665.0,265.0,SR6j-1200
665.0,585.0,SR3j-1300
705.0,385.0,SR6j-1200
717.0,695.0,SR2j-2100
785.0,145.0,SR6j-1200
785.0,625.0,SRJigsawSRC5
797.0,775.0,SR2j-2100
825.0,265.0,SR6j-1200
825.0,745.0,SRJigsawSRC2
865.0,385.0,SR6j-1200
877.0,855.0,SR2j-2100
905.0,505.0,SR6j-1200
905.0,825.0,SRJigsawSRC2
945.0,145.0,SR6j-1200
945.0,625.0,SR6j-1200
985.0,265.0,SR6j-1200
985.0,745.0,SR6j-1200
1025.0,385.0,SR6j-1200
1025.0,865.0,SRJigsawSRC3
1065.0,505.0,SR6j-1200
1105.0,145.0,SRJigsawSRG2a
1105.0,625.0,SR6j-1200
1145.0,265.0,SR4j-1400
1145.0,745.0,SR6j-1200
1185.0,385.0,SR4j-1400
1185.0,865.0,SR6j-1200
1225.0,505.0,SR4j-1400
1265.0,145.0,SR5j-1600
1265.0,625.0,SR4j-1400
1305.0,265.0,SR5j-1600
1305.0,745.0,SR6j-1200
1345.0,385.0,SR6j-1800
1345.0,865.0,SR6j-1200
1385.0,505.0,SR6j-1800
1425.0,145.0,SR6j-1800
1425.0,625.0,SR6j-1800
1465.0,265.0,SR6j-1800
1465.0,745.0,SR6j-1800
1505.0,385.0,SR6j-1800
1505.0,865.0,SRJigsawSRG1b
1545.0,505.0,SR6j-1800
1585.0,145.0,SR6j-1800
1585.0,625.0,SR6j-1800
1625.0,265.0,SR6j-1800
1625.0,745.0,SR6j-1800
1665.0,385.0,SR6j-1800
1665.0,865.0,SR6j-1800
1705.0,505.0,SR6j-1800
1745.0,145.0,SR6j-2600
1745.0,625.0,SR6j-1800
1785.0,265.0,SR6j-2600
1785.0,745.0,SR6j-1800
1825.0,385.0,SR4j-2600
1825.0,865.0,SR6j-1800
1865.0,505.0,SR4j-2600
1905.0,145.0,SR6j-2600
1905.0,625.0,SR6j-2200
1945.0,265.0,SR4j-3000
1945.0,745.0,SR6j-2200
1985.0,385.0,SR4j-3000
2025.0,505.0,SR4j-3000
2065.0,145.0,SR4j-3000
2065.0,625.0,SR4j-3000
2105.0,265.0,SR4j-3000
2145.0,385.0,SR4j-3000
2185.0,505.0,SR4j-3000
2225.0,145.0,SR4j-3000

#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],CROSS-SECTION UPPER LIMIT 95%CL (FB)
477.0,455.0,5081.23
505.0,425.0,7608.11
545.0,385.0,9233.02
557.0,535.0,3402.58
585.0,505.0,4436.21
625.0,145.0,189.994
637.0,615.0,2633.26
665.0,265.0,300.541
665.0,585.0,3005.06
705.0,385.0,294.849
717.0,695.0,1506.41
785.0,145.0,55.6072
785.0,625.0,540.725
797.0,775.0,1386.98
825.0,265.0,56.9845
825.0,745.0,531.179
865.0,385.0,61.4962
877.0,855.0,1029.21
905.0,505.0,107.021
905.0,825.0,408.878
945.0,145.0,26.5179
945.0,625.0,160.924
985.0,265.0,22.8651
985.0,745.0,304.855
1025.0,385.0,26.1191
1025.0,865.0,136.244
1065.0,505.0,30.8838
1105.0,145.0,12.825
1105.0,625.0,41.5744
1145.0,265.0,14.5318
1145.0,745.0,80.5989
1185.0,385.0,14.7078
1185.0,865.0,117.747
1225.0,505.0,16.2551
1265.0,145.0,8.19246
1265.0,625.0,20.0911
1305.0,265.0,8.06588
1305.0,745.0,24.8424
1345.0,385.0,5.57437
1345.0,865.0,35.8792
1385.0,505.0,6.47552
1425.0,145.0,4.26166
1425.0,625.0,8.41095
1465.0,265.0,4.2508
1465.0,745.0,11.5247
1505.0,385.0,4.42134
1505.0,865.0,9.62661
1545.0,505.0,4.57498
1585.0,145.0,3.44627
1585.0,625.0,4.90816
1625.0,265.0,3.58142
1625.0,745.0,5.64752
1665.0,385.0,3.50231
1665.0,865.0,8.8308
1705.0,505.0,3.48309
1745.0,145.0,1.2117
1745.0,625.0,3.79735
1785.0,265.0,1.28029
1785.0,745.0,4.08066
1825.0,385.0,1.48245
1825.0,865.0,4.6257
1865.0,505.0,1.54681
1905.0,145.0,1.04411
1905.0,625.0,2.2349
1945.0,265.0,1.33368
1945.0,745.0,2.34625
1985.0,385.0,1.40608
2025.0,505.0,1.53424
2065.0,145.0,1.01592
2065.0,625.0,1.62911
2105.0,265.0,1.03706
2145.0,385.0,1.0825
2185.0,505.0,1.21488
2225.0,145.0,0.907709

