#: table_doi: 10.17182/hepdata.77891.v5/t59
#: name: X-section U.L. & best SR 7  : Meff
#: description: Observed 95% CL upper limit on the signal cross-section from Meff-based searches in a SUSY scenario where gluinos are produced in pairs and decay via an intermediate the second lightest neutralino to the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{2}^{0} \rightarrow qq Z \tilde{\chi}_{1}^{0}$.
#: data_file: data59.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO2) [GEV],Best SR
790.0,510.0,SR6j-1200
815.0,335.0,SR6j-1200
835.0,765.0,SR6j-1200
845.0,155.0,SR6j-1200
890.0,410.0,SR6j-1200
920.0,230.0,SR6j-1200
940.0,660.0,SR6j-1200
985.0,915.0,SR5j-2000
995.0,305.0,SR6j-1200
1020.0,130.0,SR5j-1600
1040.0,560.0,SR6j-1200
1090.0,810.0,SR6j-1200
1095.0,205.0,SR5j-1600
1135.0,1065.0,SR2j-1600
1145.0,455.0,SR4j-1400
1190.0,710.0,SR4j-1400
1200.0,100.0,SR5j-1600
1240.0,960.0,SR5j-2000
1245.0,355.0,SR5j-1600
1285.0,1215.0,SR2jB-1600
1295.0,605.0,SR5j-1600
1340.0,860.0,SR4j-1800
1350.0,250.0,SR5j-1600
1390.0,1110.0,SR5j-2000
1395.0,505.0,SR6j-1800
1435.0,1365.0,SR2j-2400
1445.0,755.0,SR6j-1800
1450.0,150.0,SR6j-2600
1490.0,1010.0,SR6j-1800
1500.0,400.0,SR6j-2600
1540.0,1260.0,SR5j-2000
1545.0,655.0,SR4j-2200
1585.0,1515.0,SR2j-2400
1595.0,905.0,SR6j-1800
1600.0,300.0,SR6j-2600
1640.0,1160.0,SR4j-2200
1650.0,550.0,SR4j-2600
1690.0,1410.0,SR5j-2600
1695.0,805.0,SR4j-2600
1705.0,195.0,SR4j-2600
1735.0,1665.0,SR2jB-2400
1745.0,1055.0,SR4j-2600
1750.0,450.0,SR4j-2600
1790.0,1310.0,SR4j-2600
1800.0,700.0,SR4j-2600
1810.0,100.0,SR4j-3000
1840.0,1560.0,SR5j-2600
1845.0,955.0,SR4j-2600
1855.0,345.0,SR4j-3000
1895.0,1205.0,SR4j-2600
1900.0,600.0,SR4j-3000
1940.0,1460.0,SR4j-3000
1950.0,850.0,SR4j-3000
1960.0,250.0,SR4j-3000
1995.0,1105.0,SR4j-3000
2005.0,495.0,SR4j-3000
2045.0,1355.0,SR4j-3000
2050.0,750.0,SR4j-3000
2065.0,155.0,SR4j-3000
2090.0,1610.0,SR4j-3000
2100.0,1000.0,SR4j-3000
2110.0,400.0,SR4j-3000
2145.0,1255.0,SR4j-3000
2155.0,645.0,SR4j-3000
2165.0,100.0,SR4j-3000
2195.0,1505.0,SR4j-3000
2200.0,900.0,SR4j-3000

#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO2) [GEV],CROSS-SECTION UPPER LIMIT 95%CL (FB)
790.0,510.0,25.52
815.0,335.0,41.6017
835.0,765.0,67.6313
845.0,155.0,107.997
890.0,410.0,27.344
920.0,230.0,55.0077
940.0,660.0,16.5109
985.0,915.0,19.611
995.0,305.0,40.8338
1020.0,130.0,29.6759
1040.0,560.0,16.9527
1090.0,810.0,12.9494
1095.0,205.0,16.0317
1135.0,1065.0,16.9924
1145.0,455.0,14.5132
1190.0,710.0,10.152
1200.0,100.0,24.8532
1240.0,960.0,5.08066
1245.0,355.0,8.85934
1285.0,1215.0,13.6993
1295.0,605.0,6.45167
1340.0,860.0,5.40615
1350.0,250.0,11.1804
1390.0,1110.0,3.6783
1395.0,505.0,5.19143
1435.0,1365.0,5.20852
1445.0,755.0,3.48465
1450.0,150.0,5.5306
1490.0,1010.0,3.78252
1500.0,400.0,2.19608
1540.0,1260.0,3.07612
1545.0,655.0,4.70591
1585.0,1515.0,3.54338
1595.0,905.0,2.93383
1600.0,300.0,2.35989
1640.0,1160.0,4.19834
1650.0,550.0,1.56717
1690.0,1410.0,2.9668
1695.0,805.0,1.21066
1705.0,195.0,2.91834
1735.0,1665.0,3.31449
1745.0,1055.0,1.21208
1750.0,450.0,1.72092
1790.0,1310.0,1.82724
1800.0,700.0,0.581001
1810.0,100.0,3.86306
1840.0,1560.0,2.39578
1845.0,955.0,1.00338
1855.0,345.0,2.32623
1895.0,1205.0,1.04922
1900.0,600.0,1.20914
1940.0,1460.0,1.65156
1950.0,850.0,1.11258
1960.0,250.0,2.58945
1995.0,1105.0,0.940483
2005.0,495.0,1.33501
2045.0,1355.0,0.983649
2050.0,750.0,1.00549
2065.0,155.0,2.70075
2090.0,1610.0,1.45928
2100.0,1000.0,0.849059
2110.0,400.0,1.43306
2145.0,1255.0,0.780842
2155.0,645.0,0.996181
2165.0,100.0,2.52553
2195.0,1505.0,0.935895
2200.0,900.0,0.734137

