#: table_doi: 10.17182/hepdata.91374.v1/t50
#: name: Figure 32b
#: description: Efficiency for the slepton process in the SR-S region.  Truth stransverse mass is constrained to be within the range [100,140] GeV.
#: data_file: figure_32b.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
#$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.3472
100.0,30.0,0.35052
100.0,20.0,0.34957
100.0,10.0,0.35127
100.0,5.0,0.35415
100.0,2.0,0.36252
100.0,1.0,0.3881
100.0,0.7,0.46
100.0,0.5,0.5728
125.0,20.0,0.33999
125.0,10.0,0.33938
125.0,5.0,0.33534
125.0,2.0,0.32213
125.0,1.0,0.42306
125.0,0.7,0.3509
125.0,0.5,0.30265
125.0,40.0,0.38912
125.0,30.0,0.34243
150.0,40.0,0.38484
150.0,30.0,0.39995
150.0,25.7,0.35776
150.0,20.0,0.34881
150.0,10.0,0.37884
150.0,5.0,0.3931
150.0,2.0,0.37132
150.0,1.0,0.34691
150.0,0.5,0.42158
175.0,40.0,0.41197
175.0,30.0,0.37739
175.0,20.0,0.42986
175.0,10.0,0.38792
175.0,5.0,0.35044
175.0,2.0,0.40847
175.0,1.0,0.42224
200.0,40.0,0.47973
200.0,30.0,0.46599
200.0,20.0,0.3639
200.0,10.0,0.34475
200.0,5.0,0.41278
200.0,2.0,0.31275
200.0,1.0,0.3481
225.0,40.0,0.35982
225.0,30.0,0.40511
225.0,20.0,0.40714
225.0,10.0,0.34197
225.0,5.0,0.35701
225.0,2.0,0.36736
225.0,1.0,0.32603
250.0,20.0,0.39174
250.0,10.0,0.39087
250.0,5.0,0.35534
250.0,2.0,0.36082
250.0,1.0,0.39554
300.0,10.0,0.39141
300.0,5.0,0.36433
300.0,2.0,0.37721
50.0,5.0,0.32988
50.0,2.0,0.37983
50.0,1.0,0.35994
50.0,0.7,0.33922
50.0,0.5,0.37392
50.0,0.3,0.37584
60.0,5.0,0.32754
60.0,2.0,0.38698
60.0,1.0,0.34703
60.0,0.7,0.33226
60.0,0.5,0.38574
60.0,0.3,0.28989
70.0,5.0,0.33515
70.0,2.0,0.32564
70.0,1.0,0.38249
70.0,0.7,0.34729
70.0,0.5,0.37026
90.0,40.0,0.33455
90.0,20.0,0.32758

