#: table_doi: 10.17182/hepdata.77891.v5/t37
#: name: Exclusion contour(exp.) 2  : RJR
#: description: Expected 95% CL exclusion contours from RJR-based searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay directly into the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{0}$.
#: data_file: data37.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
1964.0,0.0
1968.0,20.2
1970.0,24.55
1976.0,40.4
1984.0,60.61
1990.0,80.81
1995.0,101.0
1996.0,107.1
1999.0,121.2
2002.0,141.4
2003.0,161.6
2003.0,181.8
2002.0,202.0
1998.0,222.2
1996.0,228.9
1992.0,242.4
1984.0,262.6
1973.0,282.8
1970.0,289.6
1962.0,303.0
1955.0,323.2
1952.0,343.4
1952.0,363.6
1951.0,383.8
1950.0,404.0
1948.0,424.2
1946.0,444.4
1943.0,458.5
1942.0,464.6
1938.0,484.8
1933.0,505.1
1928.0,525.3
1923.0,545.5
1918.0,565.7
1917.0,567.7
1913.0,585.9
1907.0,606.1
1901.0,626.3
1894.0,646.5
1891.0,653.9
1885.0,666.7
1875.0,686.9
1865.0,703.4
1862.0,707.1
1849.0,727.3
1838.0,741.6
1835.0,747.5
1822.0,767.7
1812.0,780.9
1808.0,787.9
1796.0,808.1
1786.0,827.9
1786.0,828.3
1775.0,848.5
1760.0,866.4
1757.0,868.7
1733.0,886.2
1729.0,888.9
1707.0,903.1
1701.0,909.1
1682.0,929.3
1681.0,930.6
1662.0,949.5
1655.0,956.6
1638.0,969.7
1628.0,976.6
1605.0,989.9
1602.0,991.1
1576.0,993.2
1549.0,992.3
1523.0,990.7
1513.0,989.9
1497.0,988.6
1471.0,986.2
1444.0,983.1
1418.0,979.2
1392.0,974.7
1366.0,969.7
1366.0,969.6
1339.0,964.4
1313.0,959.1
1287.0,953.1
1273.0,949.5
1261.0,946.1
1234.0,937.1
1218.0,929.3
1208.0,924.4
1183.0,909.1
1182.0,908.4
1156.0,890.6
1152.0,888.9
1129.0,878.2
1103.0,874.9
1077.0,880.6
1060.0,888.9
1051.0,896.6
1024.0,908.7
998.0,899.9
977.8,888.9
971.7,887.5
945.5,871.2
943.4,868.7
919.2,849.0
917.6,848.5
892.9,834.7
879.2,828.3
866.7,823.1
840.4,810.2
837.6,808.1
814.1,796.3
803.8,787.9
792.0,767.7
787.9,760.2
777.8,747.5
761.6,729.9
758.7,727.3
735.4,713.6
724.9,707.1
709.1,698.1
699.2,686.9
688.5,666.7
682.8,655.5
676.4,646.5
658.6,626.3
656.6,624.6
630.3,608.2
627.0,606.1
604.0,595.9
592.7,585.9
588.0,565.7
580.0,545.5
577.8,540.5
568.2,525.3
554.6,505.1
551.5,500.8
538.1,484.8
525.3,469.0
521.5,464.6
505.9,444.4
499.0,434.8
490.3,424.2
473.0,404.0
472.7,403.8
448.2,383.8
446.5,382.6
443.1,383.8
420.2,388.7

