#: table_doi: 10.17182/hepdata.77891.v5/t75
#: name: Exclusion contour(exp.) 12  : Meff
#: description: Expected 95% CL exclusion contours from Meff-based searches on the gluino and squark masses for inclusive squark-gluino production in pMSSM models with $m_{\tilde{\chi}_{1}^0}=995$ GeV.
#: data_file: data75.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK or SQUARK GLUINO or GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV]
2062.0,3027.0
2183.0,2950.0
2188.0,2948.0
2312.0,2871.0
2341.0,2850.0
2438.0,2770.0
2463.0,2750.0
2562.0,2670.0
2598.0,2650.0
2688.0,2606.0
2812.0,2559.0
2835.0,2550.0
2938.0,2516.0
3062.0,2476.0
3157.0,2450.0
3188.0,2442.0
3312.0,2415.0
3438.0,2387.0
3562.0,2354.0
3577.0,2350.0
3688.0,2309.0
3808.0,2250.0
3812.0,2247.0
3938.0,2176.0
3999.0,2150.0
4062.0,2117.0
4188.0,2075.0
4279.0,2050.0
4312.0,2027.0
4422.0,1950.0
4374.0,1850.0
4312.0,1801.0
4252.0,1750.0
4188.0,1703.0
4131.0,1650.0
4062.0,1601.0
4014.0,1550.0
3938.0,1495.0
3891.0,1450.0
3812.0,1387.0
3774.0,1350.0
3688.0,1274.0
3662.0,1250.0
3562.0,1153.0
3559.0,1150.0
3485.0,1050.0
1062.0,4855.0
1068.0,4850.0
1188.0,4770.0
1202.0,4750.0
1260.0,4650.0
1291.0,4550.0
1304.0,4450.0
1308.0,4350.0
1307.0,4250.0
1306.0,4150.0
1312.0,4119.0
1325.0,4050.0
1380.0,3950.0
1438.0,3868.0
1449.0,3850.0
1503.0,3750.0
1540.0,3650.0
1562.0,3572.0
1574.0,3550.0
1627.0,3450.0
1682.0,3350.0
1688.0,3341.0
1776.0,3250.0
1812.0,3218.0
1885.0,3150.0
1938.0,3117.0
2018.0,3050.0
2062.0,3027.0

