#: table_doi: 10.17182/hepdata.77891.v5/t35
#: name: Exclusion contour(exp.) 2  : Meff
#: description: Expected 95% CL exclusion contours from Meff-based searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay directly into the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{0}$.
#: data_file: data35.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
409.0,409.0
454.1,454.1
456.2,456.2
493.9,493.9
516.3,516.3
527.8,527.8
571.7,571.7
578.5,578.5
613.5,613.5
640.7,640.7
652.4,652.4
691.4,691.4
702.9,702.9
731.5,731.5
765.1,764.3
791.2,780.0
827.3,802.6
861.5,820.0
889.5,843.0
929.0,860.0
951.7,871.8
1014.0,891.3
1053.0,900.0
1076.0,907.1
1138.0,914.7
1200.0,924.6
1263.0,933.6
1325.0,939.5
1331.0,940.0
1387.0,945.9
1449.0,951.1
1511.0,952.5
1574.0,945.4
1593.0,940.0
1636.0,926.8
1696.0,900.0
1698.0,899.1
1760.0,864.6
1767.0,860.0
1812.0,820.0
1822.0,806.7
1843.0,780.0
1865.0,740.0
1883.0,700.0
1885.0,696.3
1907.0,660.0
1931.0,620.0
1947.0,585.3
1949.0,580.0
1964.0,540.0
1977.0,500.0
1988.0,460.0
1994.0,420.0
2000.0,380.0
2007.0,340.0
2009.0,326.8
2014.0,300.0
2024.0,260.0
2031.0,220.0
2035.0,180.0
2036.0,140.0
2036.0,100.0
2036.0,60.0
2037.0,20.0

