#: table_doi: 10.17182/hepdata.77891.v5/t54
#: name: Exclusion contour(exp.) 5  : RJR
#: description: Expected 95% CL exclusion contours from RJR-based searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay via an intermediate lightest chargino to lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{\pm} \rightarrow qq W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data54.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
1901.0,40.4
1899.0,55.05
1898.0,60.61
1897.0,80.81
1896.0,101.0
1894.0,121.2
1893.0,141.4
1893.0,161.6
1893.0,181.8
1893.0,202.0
1892.0,222.2
1890.0,242.4
1888.0,262.6
1885.0,282.8
1882.0,303.0
1880.0,323.2
1876.0,343.4
1876.0,345.3
1873.0,363.6
1869.0,383.8
1864.0,404.0
1859.0,424.2
1853.0,441.9
1852.0,444.4
1846.0,464.6
1839.0,484.8
1832.0,505.1
1830.0,510.8
1826.0,525.3
1818.0,545.5
1810.0,565.7
1807.0,571.6
1801.0,585.9
1791.0,606.1
1785.0,618.1
1780.0,626.3
1769.0,646.5
1762.0,658.5
1757.0,666.7
1745.0,686.9
1739.0,696.3
1732.0,707.1
1719.0,727.3
1716.0,731.6
1705.0,747.5
1693.0,762.9
1689.0,767.7
1671.0,787.9
1670.0,788.7
1649.0,808.1
1647.0,809.1
1624.0,825.0
1619.0,828.3
1602.0,837.9
1580.0,848.5
1579.0,848.9
1556.0,858.1
1533.0,866.5
1526.0,868.7
1510.0,872.9
1487.0,872.6
1464.0,870.5
1441.0,868.7
1441.0,868.7
1418.0,867.2
1396.0,865.9
1373.0,864.6
1350.0,862.8
1327.0,860.1
1304.0,855.8
1281.0,849.2
1279.0,848.5
1258.0,840.6
1235.0,829.3
1234.0,828.3
1213.0,817.1
1195.0,808.1
1190.0,805.2
1167.0,793.6
1152.0,787.9
1144.0,783.7
1121.0,784.7
1113.0,787.9
1098.0,797.5
1088.0,808.1
1080.0,828.3
1075.0,845.5
1075.0,848.5
1067.0,868.7
1052.0,885.2
1047.0,888.9
1030.0,896.9
1007.0,897.2
985.5,888.9
983.8,888.0
960.9,869.9
959.3,868.7
938.0,858.0
915.2,852.9
895.8,848.5
892.3,847.3
879.5,828.3
869.4,815.3
862.7,808.1
846.5,798.3
823.6,792.4
800.8,789.4
799.1,799.1
788.0,788.0
779.7,779.7
777.9,777.9
763.2,763.2
755.0,755.0
732.1,732.1
717.7,717.7
709.2,709.2
703.5,703.5
697.1,697.1
686.4,686.4
681.4,681.4
663.5,663.5
640.6,640.6
628.2,628.2
623.0,623.0
618.7,618.7
617.7,617.7
605.4,605.4
594.8,594.8
572.0,572.0
549.1,549.1
541.5,541.5
538.4,538.4
537.4,537.4
528.0,528.0
526.2,526.2
503.3,503.3
480.5,480.5
464.1,464.1
461.3,461.3
461.4,461.4
457.6,457.6
455.5,455.5
434.7,434.7
411.8,411.8

