#: table_doi: 10.17182/hepdata.77891.v5/t61
#: name: Exclusion contour(obs.) 7  : Meff
#: description: Observed 95% CL exclusion contours from Meff-based searches on the gluino and second lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay via an intermediate the second lightest neutralino to the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{2}^{0} \rightarrow qq Z \tilde{\chi}_{1}^{0}$.
#: data_file: data61.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO2) [GEV]
1839.0,1525.0
1864.0,1480.0
1882.0,1450.0
1899.0,1426.0
1925.0,1394.0
1944.0,1372.0
1968.0,1341.0
1983.0,1318.0
2003.0,1264.0
2011.0,1210.0
2012.0,1199.0
2014.0,1155.0
2016.0,1101.0
2013.0,1047.0
2012.0,1033.0
2008.0,993.1
2002.0,938.9
1998.0,884.8
1996.0,830.7
1993.0,776.6
1986.0,722.4
1979.0,668.3
1969.0,614.2
1968.0,611.4
1955.0,560.1
1929.0,505.9
1925.0,499.6
1900.0,451.8
1882.0,419.7
1872.0,397.7
1846.0,343.6
1839.0,328.4
1824.0,289.4
1803.0,235.3
1796.0,217.0
1783.0,181.2
1766.0,127.1
1600.0,0.
17.8,1.4
717.8,701.4
734.6,722.4
760.9,755.5
777.7,776.6
804.1,803.0
840.8,830.7
847.2,835.5
890.3,870.8
907.1,884.8
933.4,917.9
950.2,938.9
976.6,965.4
1013.0,993.1
1020.0,997.9
1063.0,1033.0
1080.0,1047.0
1106.0,1080.0
1124.0,1101.0
1149.0,1132.0
1170.0,1155.0
1192.0,1177.0
1235.0,1208.0
1238.0,1210.0
1278.0,1243.0
1305.0,1264.0
1322.0,1283.0
1353.0,1318.0
1365.0,1332.0
1401.0,1372.0
1408.0,1378.0
1451.0,1415.0
1474.0,1426.0
1494.0,1441.0
1537.0,1472.0
1546.0,1480.0
1580.0,1517.0
1600.0,1534.0
1623.0,1559.0
1667.0,1588.0
1668.0,1588.0
1710.0,1596.0
1753.0,1602.0
1796.0,1601.0
1812.0,1588.0
1835.0,1534.0

