#: table_doi: 10.17182/hepdata.79165.v2/t15
#: name: Efficiency 2
#: description: Signal efficiency (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the symmetric decay of the sbottom into bottom quark and neutralino, for the b0L-SRA450 signal region.
#: data_file: data14.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Efficiency
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],EFFICIENCY [PCT]
500.0,450.0,0.0
500.0,480.0,85.0
500.0,495.0,0.0
550.0,1.0,47.0
550.0,100.0,62.0
550.0,200.0,42.0
550.0,250.0,43.0
550.0,300.0,152.0
550.0,350.0,56.0
550.0,400.0,0.0
550.0,450.0,146.0
550.0,500.0,0.0
550.0,530.0,0.0
550.0,545.0,56.0
600.0,1.0,47.0
600.0,100.0,47.0
600.0,150.0,43.0
600.0,200.0,45.0
600.0,300.0,46.0
600.0,350.0,18.0
600.0,400.0,90.0
600.0,450.0,0.0
600.0,500.0,117.0
600.0,550.0,0.0
600.0,580.0,43.0
600.0,595.0,0.0
650.0,1.0,41.0
650.0,100.0,43.0
650.0,150.0,48.0
650.0,200.0,48.0
650.0,250.0,52.0
650.0,300.0,48.0
650.0,350.0,63.0
650.0,400.0,63.0
650.0,450.0,82.0
650.0,500.0,24.0
650.0,550.0,35.0
650.0,600.0,0.0
700.0,1.0,37.0
700.0,100.0,44.0
700.0,150.0,45.0
700.0,200.0,47.0
700.0,250.0,45.0
700.0,300.0,45.0
700.0,350.0,47.0
700.0,400.0,51.0
700.0,450.0,44.0
700.0,500.0,61.0
700.0,550.0,92.0
700.0,600.0,0.0
750.0,1.0,38.0
750.0,100.0,38.0
750.0,150.0,40.0
750.0,200.0,41.0
750.0,250.0,47.0
750.0,300.0,42.0
750.0,350.0,47.0
750.0,400.0,49.0
750.0,450.0,76.0
750.0,500.0,54.0
750.0,550.0,196.0
750.0,600.0,71.0
800.0,1.0,33.0
800.0,100.0,36.0
800.0,200.0,40.0
800.0,250.0,37.0
800.0,300.0,37.0
800.0,350.0,44.0
800.0,400.0,40.0
800.0,450.0,50.0
800.0,50.0,36.0
800.0,500.0,61.0
800.0,550.0,89.0
800.0,600.0,0.0
850.0,1.0,30.0
850.0,100.0,34.0
850.0,200.0,35.0
850.0,250.0,35.0
850.0,300.0,35.0
850.0,350.0,36.0
850.0,400.0,45.0
850.0,450.0,45.0
850.0,50.0,30.0
850.0,500.0,44.0
850.0,550.0,67.0
850.0,600.0,27.0
900.0,1.0,33.0
900.0,100.0,33.0
900.0,150.0,31.0
900.0,200.0,35.0
900.0,250.0,32.0
900.0,300.0,38.0
900.0,350.0,36.0
900.0,400.0,42.0
900.0,450.0,41.0
900.0,50.0,31.0
900.0,500.0,41.0
900.0,550.0,54.0
900.0,600.0,57.0
950.0,1.0,29.0
950.0,100.0,28.0
950.0,150.0,31.0
950.0,200.0,33.0
950.0,250.0,29.0
950.0,300.0,32.0
950.0,350.0,36.0
950.0,400.0,39.0
950.0,450.0,36.0
950.0,50.0,30.0
950.0,500.0,50.0
950.0,550.0,50.0

