#: table_doi: 10.17182/hepdata.79165.v2/t55
#: name: Contour 26
#: description: Observed exclusion limit for b1L-SRA600 for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data54.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
739.4,293.8
746.6,281.2
751.2,268.8
754.9,256.2
758.0,243.8
761.3,231.2
762.5,226.8
764.5,218.8
767.0,206.2
769.3,193.8
772.5,181.2
777.0,168.8
783.1,156.2
787.0,143.8
787.5,136.6
787.9,131.2
788.7,118.8
789.3,106.2
789.3,100.0
359.5,100.0
359.5,106.2
362.5,109.1
372.6,118.8
385.7,131.2
387.5,133.0
402.5,143.8
412.5,152.7
418.4,156.2
434.8,168.8
437.5,171.5
446.9,181.2
459.4,193.8
462.5,197.4
469.6,206.2
480.4,218.8
487.5,228.3
490.3,231.2
503.0,243.8
512.5,253.5
516.0,256.2
534.2,268.8
537.5,271.2
554.4,281.2
562.5,286.1
577.7,293.8
587.5,299.1
606.6,306.2
612.5,309.1
637.5,312.5
656.0,318.8
662.5,320.9
687.5,329.6
710.3,318.8
712.5,317.6
725.5,306.2
737.5,296.0
739.4,293.8

