#: table_doi: 10.17182/hepdata.79165.v2/t31
#: name: Contour 2
#: description: Observed exclusion limit for b0L-SRA350 for sbottom pair production with symmetric decay into a bottom quark and a neutralino.
#: data_file: data30.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
374.1,0.0
374.1,8.488
374.4,23.46
368.1,28.29
350.3,38.44
350.9,53.41
341.9,61.59
330.0,68.39
331.5,83.36
328.3,98.34
341.9,112.8
342.4,113.3
357.7,128.3
368.1,136.4
382.1,143.3
394.4,151.0
400.3,158.2
408.8,173.2
420.5,188.2
420.6,188.3
438.7,203.2
446.9,210.4
455.4,218.1
472.1,233.1
473.1,236.3
477.7,248.1
499.4,257.6
505.9,263.1
524.4,278.0
525.6,279.0
545.4,293.0
551.9,298.2
563.2,308.0
578.1,322.5
578.7,323.0
599.4,337.9
604.4,341.7
622.9,352.9
630.6,358.5
643.5,367.9
656.9,377.6
664.3,382.9
683.1,396.3
686.4,397.8
705.1,412.8
709.4,416.2
733.6,427.8
735.6,429.1
761.9,437.2
779.1,442.8
788.1,445.4
801.6,442.8
814.4,436.6
822.0,427.8
830.0,412.8
834.9,397.8
840.6,386.6
842.6,382.9
848.2,367.9
852.3,352.9
854.1,337.9
852.9,323.0
850.7,308.0
852.5,293.0
857.2,278.0
859.7,263.1
858.4,248.1
863.3,233.1
864.9,218.1
866.4,203.2
865.6,188.2
864.2,173.2
861.7,158.2
861.5,143.3
864.7,128.3
866.9,116.1
867.3,113.3
867.5,98.34
868.2,83.36
866.9,76.02
865.5,68.39
862.7,53.41
862.1,38.44
861.9,23.46
861.5,8.488
861.5,0.0

