#: table_doi: 10.17182/hepdata.79165.v2/t12
#: name: Acceptance 11
#: description: Signal acceptance (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the asymmetric decay of the sbottom into bottom quark and neutralino or top quark and chargino, for the b1L-SRB signal region.
#: data_file: data11.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],ACCEPTANCE [PCT]
1000.0,100.0,0.72
1000.0,150.0,0.94
1000.0,200.0,0.95
1000.0,250.0,0.85
1000.0,300.0,0.92
1000.0,350.0,0.92
1000.0,450.0,0.99
1000.0,500.0,1.2
1050.0,100.0,0.65
1050.0,150.0,0.88
1050.0,200.0,0.81
1050.0,300.0,0.68
1050.0,350.0,0.95
1050.0,400.0,0.84
1050.0,450.0,0.96
1050.0,500.0,1.08
1050.0,550.0,1.28
1100.0,100.0,0.77
1100.0,150.0,0.74
1100.0,200.0,0.74
1100.0,250.0,0.84
1100.0,300.0,0.88
1100.0,350.0,0.81
1100.0,400.0,0.76
1100.0,450.0,1.04
1100.0,550.0,1.01
1150.0,100.0,0.57
1150.0,150.0,0.65
1150.0,200.0,0.8
1150.0,250.0,0.74
1150.0,300.0,0.82
1150.0,350.0,0.8
1150.0,400.0,0.91
1150.0,450.0,0.85
1150.0,500.0,0.81
1150.0,550.0,0.85
1200.0,150.0,0.67
1200.0,200.0,0.76
1200.0,250.0,0.64
1200.0,300.0,0.67
1200.0,350.0,0.83
1200.0,400.0,0.75
1200.0,450.0,0.77
1200.0,500.0,0.86
1200.0,550.0,0.9
1250.0,100.0,0.64
1250.0,150.0,0.68
1250.0,200.0,0.6
1250.0,250.0,0.62
1250.0,300.0,0.71
1250.0,350.0,0.6
1250.0,400.0,0.7
1250.0,450.0,0.81
1250.0,500.0,0.7
1250.0,550.0,0.97
1300.0,100.0,0.64
1300.0,150.0,0.54
1300.0,200.0,0.56
1300.0,250.0,0.63
1300.0,300.0,0.7
1300.0,350.0,0.7
1300.0,400.0,0.72
1300.0,450.0,0.73
1300.0,500.0,0.73
1300.0,550.0,0.69
300.0,100.0,0.05
400.0,100.0,0.32
400.0,150.0,0.22
450.0,150.0,0.41
450.0,200.0,0.25
500.0,100.0,0.89
500.0,200.0,0.7
500.0,250.0,0.48
500.0,300.0,0.22
550.0,100.0,1.01
550.0,200.0,0.97
550.0,250.0,0.77
550.0,300.0,0.56
600.0,100.0,0.96
600.0,150.0,0.95
600.0,200.0,1.05
600.0,300.0,0.77
600.0,350.0,0.53
600.0,400.0,0.24
650.0,150.0,1.11
650.0,200.0,1.08
650.0,250.0,1.11
650.0,300.0,0.99
650.0,350.0,0.82
650.0,400.0,0.61
650.0,450.0,0.3
700.0,100.0,1.08
700.0,150.0,1.13
700.0,200.0,1.04
700.0,250.0,0.98
700.0,300.0,1.01
700.0,350.0,1.03
700.0,400.0,0.89
700.0,450.0,0.65
700.0,500.0,0.28
750.0,100.0,1.02
750.0,150.0,1.0
750.0,200.0,1.01
750.0,250.0,1.1
750.0,300.0,1.05
750.0,350.0,1.03
750.0,400.0,1.02
750.0,450.0,0.82
750.0,500.0,0.62
750.0,550.0,0.28
800.0,100.0,0.97
800.0,200.0,1.02
800.0,250.0,0.92
800.0,300.0,1.1
800.0,350.0,1.11
800.0,400.0,1.02
800.0,450.0,1.03
800.0,500.0,1.04
800.0,550.0,0.67
800.0,600.0,0.29
850.0,100.0,0.97
850.0,200.0,1.04
850.0,250.0,1.01
850.0,300.0,1.04
850.0,350.0,1.08
850.0,400.0,1.08
850.0,450.0,0.94
850.0,550.0,0.9
850.0,600.0,0.72
900.0,100.0,0.89
900.0,150.0,0.84
900.0,200.0,1.09
900.0,250.0,1.09
900.0,300.0,0.98
900.0,350.0,1.06
900.0,400.0,1.0
900.0,450.0,0.9
900.0,550.0,0.98
900.0,600.0,0.92
950.0,100.0,0.83
950.0,150.0,0.9
950.0,200.0,0.89
950.0,250.0,0.92
950.0,300.0,1.16
950.0,350.0,1.03
950.0,450.0,0.95
950.0,500.0,1.27
950.0,550.0,1.03

