#: table_doi: 10.17182/hepdata.79165.v2/t30
#: name: Contour 1
#: description: Expected exclusion limit for b0L-SRA350 for sbottom pair production with symmetric decay into a bottom quark and a neutralino.
#: data_file: data29.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
374.0,0.0
374.0,8.488
374.2,23.46
368.1,28.1
350.0,38.44
350.4,53.41
341.9,60.81
328.6,68.39
329.6,83.36
320.9,98.34
335.1,113.3
341.9,119.9
350.5,128.3
368.1,141.9
370.9,143.3
394.0,158.2
394.4,158.6
402.8,173.2
413.8,188.2
420.6,194.7
430.7,203.2
446.9,217.6
447.4,218.1
457.7,233.1
460.4,248.1
473.1,259.3
487.9,263.1
499.4,264.3
517.5,278.0
525.6,284.2
537.1,293.0
551.9,305.4
555.1,308.0
572.2,323.0
578.1,328.1
590.0,337.9
604.4,350.4
608.5,352.9
629.1,367.9
630.6,369.1
649.6,382.9
656.9,388.4
670.0,397.8
683.1,408.9
688.2,412.8
707.2,427.8
709.4,429.5
730.3,442.8
735.6,446.3
756.6,457.7
761.9,461.1
788.1,469.6
800.4,472.7
814.4,476.2
837.6,472.7
840.6,471.7
861.2,457.7
866.9,448.6
869.7,442.8
875.1,427.8
879.9,412.8
884.7,397.8
889.1,382.9
891.7,367.9
893.1,358.0
893.9,352.9
897.1,337.9
900.6,323.0
902.9,308.0
903.4,293.0
899.6,278.0
893.8,263.1
893.1,260.5
890.5,248.1
893.1,241.4
897.3,233.1
904.6,218.1
907.4,203.2
906.7,188.2
903.8,173.2
899.9,158.2
899.0,143.3
899.2,128.3
899.0,113.3
898.6,98.34
900.5,83.36
901.6,68.39
901.8,53.41
901.5,38.44
901.6,23.46
900.4,8.488
900.4,0.0

