#: table_doi: 10.17182/hepdata.79165.v2/t83
#: name: Limit on cross section 8
#: description: Cross section excluded at 95% CL for b0L-SRA350 as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data81.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.0425
1000.0,150.0,0.04636
1000.0,200.0,0.04429
1000.0,250.0,0.03895
1000.0,300.0,0.03817
1000.0,350.0,0.04947
1000.0,450.0,0.04864
1000.0,500.0,0.05172
1050.0,150.0,0.04625
1050.0,200.0,0.04188
1050.0,300.0,0.04359
1050.0,400.0,0.0447
1050.0,450.0,0.04523
1050.0,500.0,0.0453
1050.0,550.0,0.04972
1100.0,100.0,0.04473
1100.0,150.0,0.04164
1100.0,200.0,0.04061
1100.0,250.0,0.04556
1100.0,300.0,0.0439
1100.0,350.0,0.04208
1100.0,400.0,0.04602
1100.0,450.0,0.04261
1100.0,550.0,0.0456
1150.0,100.0,0.04123
1150.0,150.0,0.04662
1150.0,200.0,0.04386
1150.0,250.0,0.03987
1150.0,300.0,0.0449
1150.0,350.0,0.04434
1150.0,400.0,0.0368
1150.0,450.0,0.0449
1150.0,550.0,0.04502
1200.0,150.0,0.03788
1200.0,200.0,0.0483
1200.0,250.0,0.04363
1200.0,300.0,0.04211
1200.0,400.0,0.03977
1200.0,450.0,0.04087
1200.0,550.0,0.03872
1250.0,100.0,0.03886
1250.0,200.0,0.04341
1250.0,250.0,0.04402
1250.0,300.0,0.03834
1250.0,350.0,0.04232
1250.0,400.0,0.03918
1250.0,450.0,0.04169
1250.0,500.0,0.03994
1250.0,550.0,0.04211
1300.0,100.0,0.04667
1300.0,150.0,0.04241
1300.0,200.0,0.0407
1300.0,250.0,0.04675
1300.0,300.0,0.04069
1300.0,350.0,0.04027
1300.0,400.0,0.04273
1300.0,500.0,0.03807
1300.0,550.0,0.04053
400.0,100.0,1.389
400.0,150.0,7.008
450.0,150.0,0.7132
450.0,200.0,2.486
500.0,100.0,0.1641
500.0,200.0,0.423
500.0,250.0,1.543
550.0,100.0,0.1022
550.0,200.0,0.1765
550.0,250.0,0.3401
550.0,300.0,1.305
600.0,100.0,0.07326
600.0,150.0,0.0828
600.0,250.0,0.1419
600.0,300.0,0.24
600.0,350.0,0.9097
600.0,400.0,14.53
650.0,200.0,0.0721
650.0,250.0,0.08761
650.0,300.0,0.1214
650.0,350.0,0.2434
650.0,450.0,10.35
700.0,100.0,0.05343
700.0,150.0,0.05276
700.0,200.0,0.05932
700.0,250.0,0.06614
700.0,350.0,0.1147
700.0,400.0,0.2085
700.0,450.0,0.6392
700.0,500.0,5.208
750.0,100.0,0.04994
750.0,150.0,0.04724
750.0,200.0,0.0514
750.0,250.0,0.05323
750.0,300.0,0.05791
750.0,350.0,0.07407
750.0,400.0,0.115
800.0,100.0,0.04503
800.0,200.0,0.04693
800.0,250.0,0.04891
800.0,300.0,0.05571
800.0,350.0,0.06041
800.0,400.0,0.07234
800.0,450.0,0.09571
800.0,500.0,0.1756
800.0,550.0,0.4469
850.0,100.0,0.0428
850.0,150.0,0.04276
850.0,200.0,0.04351
850.0,250.0,0.04856
850.0,300.0,0.04989
850.0,350.0,0.05321
850.0,400.0,0.06024
850.0,450.0,0.07294
850.0,550.0,0.1779
850.0,600.0,0.4871
900.0,100.0,0.0403
900.0,150.0,0.04325
900.0,200.0,0.04082
900.0,250.0,0.04544
900.0,300.0,0.04458
900.0,400.0,0.05088
900.0,550.0,0.08963
900.0,600.0,0.1615
950.0,100.0,0.04617
950.0,150.0,0.04041
950.0,200.0,0.04465
950.0,250.0,0.04236
950.0,300.0,0.04396
950.0,350.0,0.04532
950.0,400.0,0.04197
950.0,450.0,0.05369
950.0,550.0,0.06654

