#: table_doi: 10.17182/hepdata.79165.v2/t71
#: name: SR distribution 2
#: description: $\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ distribution in b0L-SRB. All selection criteria are applied, except the selection on the variable that is displayed in the plot. The SM backgrounds are normalized to the values determined in the fit. The last bin includes overflows.
#: data_file: data70.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOM X
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
#: .,,,DATA
"$\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ [GEV]","$\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ [GEV] LOW","$\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ [GEV] HIGH",EVENTS / 50 GEV,error +,error -
125.0,100.0,150.0,412.0,20.298,-20.298
175.0,150.0,200.0,189.0,13.748,-13.748
225.0,200.0,250.0,58.0,7.616,-7.616
275.0,250.0,300.0,20.0,4.472,-4.472
325.0,300.0,350.0,16.0,4.0,-4.0
375.0,350.0,400.0,3.0,1.732,-1.732
425.0,400.0,450.0,3.0,1.732,-1.732
475.0,450.0,500.0,1.0,1.0,-1.0
525.0,500.0,550.0,1.0,1.0,-1.0
575.0,550.0,600.0,1.0,1.0,-1.0

#: SQRT(S) [GEV],,,13000.0
#: .,,,BACKGROUND
"$\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ [GEV]","$\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ [GEV] LOW","$\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ [GEV] HIGH",EVENTS / 50 GEV,error +,error -
125.0,100.0,150.0,449.9194,52.533,-52.533
175.0,150.0,200.0,198.7803,22.0154,-22.0154
225.0,200.0,250.0,62.80517,6.54229,-6.54229
275.0,250.0,300.0,19.30713,3.60486,-3.60486
325.0,300.0,350.0,9.487796,1.97852,-1.97852
375.0,350.0,400.0,3.426842,1.23753,-1.23753
425.0,400.0,450.0,2.539937,0.966893,-0.966893
475.0,450.0,500.0,0.8875455,0.471988,-0.471988
525.0,500.0,550.0,0.7671081,0.596975,-0.596975
575.0,550.0,600.0,0.7199463,0.367924,-0.367924

#: SQRT(S) [GEV],,,13000.0
#: .,,,(600, 400)
"$\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ [GEV]","$\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ [GEV] LOW","$\mathrm{min[m_{T}(jet_{1-4}, E_{T}^{miss})]}$ [GEV] HIGH",EVENTS / 50 GEV,error +,error -
125.0,100.0,150.0,10.15,1.017,-1.017
175.0,150.0,200.0,11.66,0.9614,-0.9614
225.0,200.0,250.0,16.51,1.161,-1.161
275.0,250.0,300.0,12.0,1.006,-1.006
325.0,300.0,350.0,6.795,0.7372,-0.7372
375.0,350.0,400.0,4.481,0.5728,-0.5728
425.0,400.0,450.0,2.496,0.3908,-0.3908
475.0,450.0,500.0,1.099,0.2539,-0.2539
525.0,500.0,550.0,0.4228,0.1622,-0.1622
575.0,550.0,600.0,0.1194,0.08466,-0.08466

