#: table_doi: 10.17182/hepdata.79165.v2/t93
#: name: Limit on cross section 18
#: description: Cross section excluded at 95% CL for A-LowMass combination as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data90.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.02447
1000.0,150.0,0.02489
1000.0,200.0,0.02432
1000.0,250.0,0.02503
1000.0,300.0,0.02288
1000.0,350.0,0.02909
1000.0,450.0,0.02759
1000.0,500.0,0.03221
1050.0,100.0,0.02547
1050.0,150.0,0.0236
1050.0,300.0,0.02293
1050.0,350.0,0.02419
1050.0,450.0,0.02735
1050.0,500.0,0.02523
1050.0,550.0,0.02808
1100.0,100.0,0.02399
1100.0,150.0,0.02303
1100.0,200.0,0.02246
1100.0,250.0,0.02751
1100.0,300.0,0.02622
1100.0,350.0,0.02469
1100.0,400.0,0.02634
1100.0,450.0,0.02671
1100.0,500.0,0.02589
1100.0,550.0,0.02673
1150.0,100.0,0.02368
1150.0,150.0,0.02339
1150.0,200.0,0.02253
1150.0,250.0,0.02316
1150.0,300.0,0.02224
1150.0,350.0,0.0241
1150.0,400.0,0.02165
1150.0,450.0,0.02418
1150.0,500.0,0.02318
1200.0,150.0,0.02324
1200.0,200.0,0.02505
1200.0,300.0,0.02287
1200.0,350.0,0.02208
1200.0,400.0,0.02264
1200.0,450.0,0.02401
1200.0,500.0,0.02549
1200.0,550.0,0.02487
1250.0,100.0,0.02497
1250.0,150.0,0.02516
1250.0,200.0,0.02374
1250.0,250.0,0.02305
1250.0,300.0,0.02249
1250.0,350.0,0.0263
1250.0,400.0,0.02223
1250.0,450.0,0.02297
1250.0,500.0,0.02094
1250.0,550.0,0.02396
1300.0,100.0,0.02401
1300.0,150.0,0.0252
1300.0,200.0,0.02475
1300.0,250.0,0.02419
1300.0,350.0,0.02197
1300.0,400.0,0.02313
1300.0,450.0,0.02274
1300.0,500.0,0.02235
1300.0,550.0,0.02398
400.0,100.0,0.7021
400.0,150.0,2.117
450.0,150.0,0.4754
450.0,200.0,1.202
500.0,100.0,0.1001
500.0,200.0,0.245
500.0,250.0,0.5675
550.0,200.0,0.1017
550.0,250.0,0.1628
550.0,300.0,0.4671
600.0,100.0,0.04776
600.0,150.0,0.05328
600.0,200.0,0.06353
600.0,250.0,0.09184
600.0,300.0,0.1348
600.0,350.0,0.4218
600.0,400.0,2.027
650.0,150.0,0.04208
650.0,200.0,0.04673
650.0,250.0,0.05755
650.0,300.0,0.07434
650.0,350.0,0.1478
650.0,400.0,0.3498
650.0,450.0,1.598
700.0,100.0,0.03275
700.0,150.0,0.03272
700.0,200.0,0.03796
700.0,250.0,0.04058
700.0,300.0,0.04939
700.0,400.0,0.0984
700.0,450.0,0.2894
700.0,500.0,1.477
750.0,150.0,0.02965
750.0,200.0,0.03079
750.0,250.0,0.03374
750.0,350.0,0.04692
750.0,400.0,0.06672
750.0,450.0,0.09795
750.0,500.0,0.3065
750.0,550.0,1.278
800.0,100.0,0.02579
800.0,200.0,0.02932
800.0,250.0,0.03084
800.0,300.0,0.03384
800.0,350.0,0.04186
800.0,400.0,0.04078
800.0,450.0,0.06058
800.0,500.0,0.1017
800.0,550.0,0.2397
800.0,600.0,1.988
850.0,100.0,0.0264
850.0,150.0,0.02364
850.0,200.0,0.02754
850.0,250.0,0.02882
850.0,300.0,0.02859
850.0,400.0,0.03843
850.0,450.0,0.04229
850.0,600.0,0.2742
900.0,100.0,0.02297
900.0,150.0,0.02387
900.0,200.0,0.02487
900.0,250.0,0.02651
900.0,300.0,0.02543
900.0,350.0,0.02952
900.0,400.0,0.03299
900.0,450.0,0.03355
900.0,550.0,0.05345
900.0,600.0,0.08936
950.0,100.0,0.02563
950.0,150.0,0.02413
950.0,200.0,0.02563
950.0,250.0,0.02667
950.0,350.0,0.02689
950.0,400.0,0.02816
950.0,500.0,0.03257
950.0,550.0,0.04502

