#: table_doi: 10.17182/hepdata.79165.v2/t77
#: name: Limit on cross section 2
#: description: Cross section excluded at 95% CL for b0L-SRA350 as a function of the sbottom and neutralino masses, for a pair produced sbottom with symmetric decay into a bottom and a neutralino.
#: data_file: data76.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.01716
1000.0,1.0,0.01674
1000.0,150.0,0.0184
1000.0,200.0,0.01646
1000.0,250.0,0.01668
1000.0,300.0,0.01491
1000.0,350.0,0.01749
1000.0,400.0,0.0162
1000.0,450.0,0.01875
1000.0,500.0,0.01725
1000.0,50.0,0.01866
1000.0,550.0,0.01766
1050.0,100.0,0.02015
1050.0,1.0,0.01962
1050.0,150.0,0.01991
1050.0,300.0,0.01839
1050.0,450.0,0.01695
1050.0,500.0,0.01817
1050.0,50.0,0.01816
1050.0,550.0,0.01782
1050.0,600.0,0.019
1100.0,100.0,0.0194
1100.0,1.0,0.01854
1100.0,150.0,0.01829
1100.0,200.0,0.01701
1100.0,250.0,0.02112
1100.0,350.0,0.01801
1100.0,450.0,0.01842
1100.0,500.0,0.01732
1100.0,50.0,0.02108
1100.0,550.0,0.01718
1150.0,100.0,0.02009
1150.0,1.0,0.02131
1150.0,250.0,0.0182
1150.0,300.0,0.01866
1150.0,350.0,0.01844
1150.0,450.0,0.01879
1150.0,500.0,0.01721
1150.0,50.0,0.01794
1150.0,550.0,0.01797
1150.0,600.0,0.01856
1200.0,100.0,0.02121
1200.0,1.0,0.02057
1200.0,150.0,0.02055
1200.0,200.0,0.02495
1200.0,250.0,0.02255
1200.0,300.0,0.02072
1200.0,400.0,0.0165
1200.0,450.0,0.01771
1200.0,500.0,0.01839
1200.0,50.0,0.0203
1200.0,550.0,0.0161
1250.0,100.0,0.01932
1250.0,1.0,0.02191
1250.0,150.0,0.0227
1250.0,300.0,0.0204
1250.0,350.0,0.0207
1250.0,400.0,0.0195
1250.0,50.0,0.02169
1250.0,550.0,0.02002
1250.0,600.0,0.01882
1300.0,100.0,0.02292
1300.0,150.0,0.02171
1300.0,200.0,0.02284
1300.0,250.0,0.02268
1300.0,300.0,0.02084
1300.0,350.0,0.02102
1300.0,400.0,0.02145
1300.0,450.0,0.02226
1300.0,50.0,0.02288
1300.0,600.0,0.01809
250.0,150.0,56.96
250.0,200.0,1547.0
250.0,230.0,821.8
250.0,245.0,439.6
300.0,100.0,25.31
300.0,150.0,96.18
300.0,250.0,604.1
300.0,280.0,406.7
350.0,150.0,12.04
350.0,250.0,43.51
350.0,300.0,369.1
350.0,345.0,158.5
400.0,1.0,0.1779
400.0,150.0,1.736
400.0,200.0,6.807
400.0,350.0,169.9
400.0,395.0,83.23
450.0,200.0,0.6552
450.0,350.0,50.01
450.0,430.0,101.5
475.0,375.0,29.19
475.0,425.0,74.54
500.0,1.0,0.04001
500.0,250.0,0.4182
500.0,300.0,4.658
500.0,350.0,10.26
500.0,400.0,37.69
550.0,100.0,0.03176
550.0,200.0,0.0515
550.0,250.0,0.09195
550.0,300.0,0.3389
550.0,350.0,3.751
550.0,400.0,21.46
600.0,100.0,0.02313
600.0,1.0,0.02211
600.0,150.0,0.0265
600.0,200.0,0.03138
600.0,250.0,0.04062
600.0,350.0,0.2404
600.0,400.0,3.949
600.0,450.0,6.222
600.0,500.0,18.11
650.0,100.0,0.02037
650.0,150.0,0.02047
650.0,200.0,0.02361
650.0,250.0,0.02722
650.0,300.0,0.0358
650.0,350.0,0.06936
650.0,500.0,6.575
700.0,100.0,0.0185
700.0,1.0,0.0189
700.0,150.0,0.01885
700.0,250.0,0.02146
700.0,300.0,0.02538
700.0,350.0,0.03362
700.0,400.0,0.05695
700.0,450.0,0.1532
700.0,500.0,1.682
750.0,300.0,0.02052
750.0,350.0,0.02476
750.0,400.0,0.0331
750.0,450.0,0.0501
750.0,500.0,0.141
750.0,550.0,2.137
800.0,1.0,0.0176
800.0,200.0,0.01756
800.0,300.0,0.01996
800.0,350.0,0.02002
800.0,400.0,0.02372
800.0,450.0,0.02855
800.0,500.0,0.04995
800.0,50.0,0.01617
800.0,550.0,0.1208
800.0,600.0,1.707
850.0,100.0,0.01669
850.0,1.0,0.01802
850.0,150.0,0.01799
850.0,200.0,0.01746
850.0,350.0,0.01888
850.0,400.0,0.02091
850.0,450.0,0.02261
850.0,500.0,0.02908
850.0,50.0,0.01787
850.0,550.0,0.04477
850.0,600.0,0.1199
900.0,100.0,0.01676
900.0,1.0,0.01639
900.0,200.0,0.01537
900.0,250.0,0.018
900.0,350.0,0.01713
900.0,400.0,0.01792
900.0,450.0,0.01923
900.0,500.0,0.02205
900.0,50.0,0.01644
900.0,550.0,0.02609
950.0,100.0,0.01881
950.0,1.0,0.01844
950.0,150.0,0.01671
950.0,200.0,0.01662
950.0,300.0,0.01677
950.0,350.0,0.01633
950.0,400.0,0.01514
950.0,450.0,0.0199
950.0,500.0,0.01917
950.0,50.0,0.01583
950.0,550.0,0.02093

