#: table_doi: 10.17182/hepdata.79165.v2/t59
#: name: Contour 30
#: description: Observed exclusion limit for b1L-SRB for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data58.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
513.0,181.2
512.6,168.8
512.5,166.7
512.2,156.2
512.5,155.8
521.7,143.8
537.5,133.6
541.2,131.2
560.6,118.8
562.5,116.3
565.4,106.2
565.4,100.0
334.9,100.0
334.9,106.2
337.5,108.1
352.4,118.8
362.5,125.9
370.0,131.2
387.5,143.7
387.5,143.8
409.4,156.2
412.5,158.5
435.0,168.8
437.5,170.3
454.1,181.2
462.5,186.8
470.4,193.8
484.0,206.2
487.5,209.7
505.9,218.8
512.5,222.0
518.1,218.8
526.5,206.2
523.1,193.8
513.0,181.2

