#: table_doi: 10.17182/hepdata.79165.v2/t34
#: name: Contour 5
#: description: Expected exclusion limit for b0L-SRA450 for sbottom pair production with symmetric decay into a bottom quark and a neutralino.
#: data_file: data33.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
401.9,0.0
401.9,8.488
406.6,23.46
411.8,38.44
417.0,53.41
420.6,63.84
421.9,68.39
426.3,83.36
430.6,98.34
446.9,111.8
448.7,113.3
468.2,128.3
473.1,133.1
481.4,143.3
492.5,158.2
499.4,164.2
510.2,173.2
525.6,186.5
527.8,188.2
543.7,203.2
551.9,209.6
559.1,218.1
570.2,233.1
578.1,243.4
582.2,248.1
589.9,263.1
604.4,272.3
611.0,278.0
627.4,293.0
630.6,296.8
641.8,308.0
656.2,323.0
656.9,323.6
675.3,337.9
683.1,344.4
695.5,352.9
709.4,364.6
714.7,367.9
733.4,382.9
735.6,384.6
760.6,397.8
761.9,399.2
788.1,411.6
790.1,412.8
813.0,427.8
814.4,428.7
832.5,442.8
840.6,448.2
863.8,457.7
866.9,459.3
893.1,460.9
902.3,457.7
919.4,448.6
924.8,442.8
942.3,427.8
945.6,425.1
956.5,412.8
963.1,397.8
962.9,382.9
962.0,367.9
961.0,352.9
967.8,337.9
971.9,330.9
975.6,323.0
977.2,308.0
975.4,293.0
971.9,281.8
970.9,278.0
963.1,263.1
957.9,248.1
964.4,233.1
969.7,218.1
971.8,203.2
971.9,202.8
975.0,188.2
977.1,173.2
974.3,158.2
973.8,143.3
976.3,128.3
971.9,114.4
971.3,113.3
964.3,98.34
969.3,83.36
971.9,71.03
972.3,68.39
971.9,65.9
969.9,53.41
971.3,38.44
971.9,28.19
972.1,23.46
971.9,22.17
968.5,8.488
968.5,0.0

