#: table_doi: 10.17182/hepdata.79165.v2/t33
#: name: Contour 4
#: description: Observed exclusion limit for b0L-SRA350 for sbottom pair production with symmetric decay into a bottom quark and a neutralino.
#: data_file: data32.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
687.5,267.4
699.6,256.2
707.7,243.8
712.5,233.6
713.6,231.2
718.5,218.8
721.1,206.2
724.5,193.8
729.2,181.2
732.9,168.8
736.0,156.2
737.2,143.8
736.0,131.2
734.3,118.8
732.6,106.2
732.6,100.0
390.9,100.0
390.9,106.2
405.6,118.8
412.5,124.4
420.5,131.2
431.8,143.8
437.5,149.9
445.5,156.2
456.0,168.8
462.5,175.6
470.3,181.2
482.3,193.8
487.5,198.6
498.1,206.2
512.5,218.7
512.7,218.8
533.9,231.2
537.5,233.8
557.3,243.8
562.5,247.5
577.6,256.2
587.5,263.0
598.7,268.8
612.5,275.8
634.3,281.2
637.5,282.2
650.3,281.2
662.5,280.1
685.9,268.8
687.5,267.4

