#: table_doi: 10.17182/hepdata.79165.v2/t27
#: name: Best SR 2
#: description: b0L signal region with best expected exclusion limit in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the asymmetric decay of the sbottom into bottom quark and neutralino or top quark and chargino.
#: data_file: data26.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],Best expected SR
1000.0,100.0,b0L-A450
1000.0,150.0,b0L-A450
1000.0,200.0,b0L-A450
1000.0,250.0,b0L-A450
1000.0,300.0,b0L-A450
1000.0,350.0,b0L-A450
1000.0,450.0,b0L-A450
1000.0,500.0,b0L-A450
1050.0,100.0,b0L-A450
1050.0,150.0,b0L-A450
1050.0,200.0,b0L-A450
1050.0,300.0,b0L-A450
1050.0,350.0,b0L-A450
1050.0,400.0,b0L-A450
1050.0,450.0,b0L-A450
1050.0,500.0,b0L-A450
1050.0,550.0,b0L-A450
1100.0,100.0,b0L-A450
1100.0,150.0,b0L-A450
1100.0,200.0,b0L-A450
1100.0,250.0,b0L-A450
1100.0,300.0,b0L-A450
1100.0,350.0,b0L-A450
1100.0,400.0,b0L-A450
1100.0,450.0,b0L-A450
1100.0,500.0,b0L-A450
1100.0,550.0,b0L-A450
1150.0,100.0,b0L-A450
1150.0,150.0,b0L-A450
1150.0,200.0,b0L-A450
1150.0,250.0,b0L-A450
1150.0,300.0,b0L-A450
1150.0,350.0,b0L-A450
1150.0,400.0,b0L-A450
1150.0,450.0,b0L-A450
1150.0,500.0,b0L-A450
1150.0,550.0,b0L-A450
1200.0,150.0,b0L-A450
1200.0,200.0,b0L-A450
1200.0,250.0,b0L-A450
1200.0,300.0,b0L-A450
1200.0,350.0,b0L-A450
1200.0,400.0,b0L-A450
1200.0,450.0,b0L-A450
1200.0,500.0,b0L-A450
1200.0,550.0,b0L-A450
1250.0,100.0,b0L-A450
1250.0,150.0,b0L-A450
1250.0,200.0,b0L-A450
1250.0,250.0,b0L-A450
1250.0,300.0,b0L-A450
1250.0,350.0,b0L-A450
1250.0,400.0,b0L-A450
1250.0,450.0,b0L-A450
1250.0,500.0,b0L-A450
1250.0,550.0,b0L-A450
1300.0,100.0,b0L-A450
1300.0,150.0,b0L-A450
1300.0,200.0,b0L-A450
1300.0,250.0,b0L-A450
1300.0,300.0,b0L-A450
1300.0,350.0,b0L-A450
1300.0,400.0,b0L-A450
1300.0,450.0,b0L-A450
1300.0,500.0,b0L-A450
1300.0,550.0,b0L-A450
250.0,150.0,b0L-B
300.0,100.0,b0L-B
350.0,250.0,b0L-B
390.0,270.0,b0L-B
400.0,100.0,b0L-B
400.0,150.0,b0L-B
420.0,305.0,b0L-B
450.0,150.0,b0L-B
450.0,200.0,b0L-B
500.0,100.0,b0L-A350
500.0,200.0,b0L-B
500.0,250.0,b0L-B
500.0,300.0,b0L-B
550.0,100.0,b0L-A350
550.0,200.0,b0L-A350
550.0,250.0,b0L-B
550.0,300.0,b0L-B
600.0,100.0,b0L-A350
600.0,150.0,b0L-A350
600.0,200.0,b0L-A350
600.0,250.0,b0L-A350
600.0,300.0,b0L-A350
600.0,350.0,b0L-B
600.0,400.0,b0L-B
650.0,150.0,b0L-A350
650.0,200.0,b0L-A350
650.0,250.0,b0L-A350
650.0,300.0,b0L-A350
650.0,350.0,b0L-A350
650.0,400.0,b0L-B
650.0,450.0,b0L-B
700.0,100.0,b0L-A450
700.0,150.0,b0L-A450
700.0,200.0,b0L-A450
700.0,250.0,b0L-A350
700.0,300.0,b0L-A350
700.0,350.0,b0L-A350
700.0,400.0,b0L-A350
700.0,450.0,b0L-B
700.0,500.0,b0L-B
750.0,100.0,b0L-A450
750.0,150.0,b0L-A450
750.0,200.0,b0L-A450
750.0,250.0,b0L-A450
750.0,300.0,b0L-A350
750.0,350.0,b0L-A350
750.0,400.0,b0L-A350
750.0,450.0,b0L-A350
750.0,500.0,b0L-B
750.0,550.0,b0L-B
800.0,100.0,b0L-A450
800.0,200.0,b0L-A450
800.0,250.0,b0L-A450
800.0,300.0,b0L-A450
800.0,350.0,b0L-A350
800.0,400.0,b0L-A350
800.0,450.0,b0L-A350
800.0,500.0,b0L-A350
800.0,550.0,b0L-B
800.0,600.0,b0L-B
850.0,100.0,b0L-A450
850.0,150.0,b0L-A450
850.0,200.0,b0L-A450
850.0,250.0,b0L-A450
850.0,300.0,b0L-A450
850.0,350.0,b0L-A450
850.0,400.0,b0L-A450
850.0,450.0,b0L-A350
850.0,550.0,b0L-A350
850.0,600.0,b0L-B
900.0,100.0,b0L-A450
900.0,150.0,b0L-A450
900.0,200.0,b0L-A450
900.0,250.0,b0L-A450
900.0,300.0,b0L-A450
900.0,350.0,b0L-A450
900.0,400.0,b0L-A450
900.0,450.0,b0L-A450
900.0,550.0,b0L-A350
900.0,600.0,b0L-A350
950.0,100.0,b0L-A450
950.0,150.0,b0L-A450
950.0,200.0,b0L-A450
950.0,250.0,b0L-A450
950.0,300.0,b0L-A450
950.0,350.0,b0L-A450
950.0,400.0,b0L-A450
950.0,450.0,b0L-A450
950.0,500.0,b0L-A450
950.0,550.0,b0L-A450

