#: table_doi: 10.17182/hepdata.79165.v2/t10
#: name: Acceptance 9
#: description: Signal acceptance (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the asymmetric decay of the sbottom into bottom quark and neutralino or top quark and chargino, for the b1L-SRA600 signal region.
#: data_file: data9.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],ACCEPTANCE [PCT]
1000.0,100.0,4.21
1000.0,150.0,3.88
1000.0,200.0,4.06
1000.0,250.0,3.99
1000.0,300.0,4.03
1000.0,350.0,3.63
1000.0,450.0,3.45
1000.0,500.0,3.1
1050.0,100.0,4.22
1050.0,150.0,4.29
1050.0,200.0,4.24
1050.0,300.0,4.32
1050.0,350.0,3.95
1050.0,400.0,3.79
1050.0,450.0,3.87
1050.0,500.0,3.48
1050.0,550.0,3.21
1100.0,100.0,4.7
1100.0,150.0,4.65
1100.0,200.0,4.43
1100.0,250.0,4.39
1100.0,300.0,4.14
1100.0,350.0,4.24
1100.0,400.0,3.98
1100.0,450.0,3.6
1100.0,550.0,3.59
1150.0,100.0,4.71
1150.0,150.0,4.55
1150.0,200.0,4.72
1150.0,250.0,4.78
1150.0,300.0,4.56
1150.0,350.0,4.51
1150.0,400.0,4.58
1150.0,450.0,3.89
1150.0,500.0,4.12
1150.0,550.0,3.91
1200.0,150.0,4.43
1200.0,200.0,5.11
1200.0,250.0,4.58
1200.0,300.0,4.31
1200.0,350.0,4.44
1200.0,400.0,4.49
1200.0,450.0,4.12
1200.0,500.0,3.91
1200.0,550.0,3.82
1250.0,100.0,4.82
1250.0,150.0,4.83
1250.0,200.0,4.69
1250.0,250.0,4.85
1250.0,300.0,4.47
1250.0,350.0,4.7
1250.0,400.0,4.67
1250.0,450.0,4.47
1250.0,500.0,4.18
1250.0,550.0,4.4
1300.0,100.0,4.97
1300.0,150.0,4.99
1300.0,200.0,4.95
1300.0,250.0,4.76
1300.0,300.0,4.86
1300.0,350.0,4.36
1300.0,400.0,4.75
1300.0,450.0,4.23
1300.0,500.0,4.47
1300.0,550.0,4.45
300.0,100.0,0.03
400.0,100.0,0.28
400.0,150.0,0.16
450.0,150.0,0.36
450.0,200.0,0.2
500.0,100.0,1.25
500.0,200.0,0.75
500.0,250.0,0.44
500.0,300.0,0.16
550.0,100.0,1.67
550.0,200.0,1.25
550.0,250.0,0.87
550.0,300.0,0.48
600.0,100.0,2.15
600.0,150.0,1.86
600.0,200.0,1.75
600.0,300.0,0.98
600.0,350.0,0.52
600.0,400.0,0.22
650.0,150.0,2.29
650.0,200.0,2.24
650.0,250.0,1.86
650.0,300.0,1.41
650.0,350.0,0.98
650.0,400.0,0.57
650.0,450.0,0.2
700.0,100.0,3.01
700.0,150.0,2.78
700.0,200.0,2.35
700.0,250.0,2.31
700.0,300.0,2.08
700.0,350.0,1.61
700.0,400.0,1.16
700.0,450.0,0.64
700.0,500.0,0.22
750.0,100.0,3.17
750.0,150.0,2.95
750.0,200.0,2.64
750.0,250.0,2.56
750.0,300.0,2.39
750.0,350.0,2.2
750.0,400.0,1.64
750.0,450.0,1.07
750.0,500.0,0.58
750.0,550.0,0.18
800.0,100.0,3.5
800.0,200.0,2.96
800.0,250.0,2.95
800.0,300.0,2.77
800.0,350.0,2.32
800.0,400.0,2.12
800.0,450.0,1.63
800.0,500.0,1.22
800.0,550.0,0.66
800.0,600.0,0.19
850.0,100.0,3.63
850.0,200.0,3.57
850.0,250.0,3.5
850.0,300.0,3.18
850.0,350.0,2.96
850.0,400.0,2.23
850.0,450.0,2.19
850.0,550.0,1.44
850.0,600.0,0.68
900.0,100.0,4.05
900.0,150.0,4.07
900.0,200.0,3.64
900.0,250.0,3.68
900.0,300.0,3.93
900.0,350.0,3.05
900.0,400.0,2.81
900.0,450.0,2.78
900.0,550.0,1.79
900.0,600.0,1.38
950.0,100.0,4.0
950.0,150.0,4.06
950.0,200.0,3.75
950.0,250.0,3.64
950.0,300.0,3.45
950.0,350.0,3.7
950.0,450.0,3.12
950.0,500.0,2.93
950.0,550.0,2.32

