#: table_doi: 10.17182/hepdata.79165.v2/t91
#: name: Limit on cross section 16
#: description: Cross section excluded at 95% CL for b1L-SRB as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data88.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.3227
1000.0,150.0,0.2535
1000.0,200.0,0.3253
1000.0,250.0,0.2505
1000.0,300.0,0.2761
1000.0,350.0,0.2633
1000.0,500.0,0.1985
1050.0,100.0,0.3149
1050.0,150.0,0.2642
1050.0,200.0,0.3375
1050.0,300.0,0.3091
1050.0,350.0,0.2257
1050.0,400.0,0.3274
1050.0,450.0,0.2981
1050.0,500.0,0.1935
1050.0,550.0,0.2439
1100.0,100.0,0.3636
1100.0,150.0,0.3509
1100.0,200.0,0.2413
1100.0,250.0,0.3188
1100.0,350.0,0.3097
1100.0,400.0,0.321
1100.0,450.0,0.2372
1100.0,500.0,0.271
1100.0,550.0,0.3185
1150.0,350.0,0.2637
1150.0,400.0,0.2545
400.0,100.0,1.011
400.0,150.0,1.76
450.0,150.0,0.7469
450.0,200.0,1.257
500.0,100.0,0.3079
500.0,200.0,0.4287
500.0,250.0,0.6932
500.0,300.0,2.453
550.0,100.0,0.2538
550.0,200.0,0.35
550.0,250.0,0.3937
550.0,300.0,0.5174
600.0,100.0,0.2748
600.0,150.0,0.2721
600.0,200.0,0.2591
600.0,250.0,0.2856
600.0,350.0,0.6178
600.0,400.0,1.842
650.0,150.0,0.2181
650.0,200.0,0.2858
650.0,250.0,0.2415
650.0,300.0,0.2864
650.0,350.0,0.3569
650.0,400.0,0.5957
650.0,450.0,1.294
700.0,100.0,0.2391
700.0,150.0,0.2097
700.0,200.0,0.2617
700.0,250.0,0.2696
700.0,300.0,0.2549
700.0,350.0,0.2979
700.0,400.0,0.3352
700.0,450.0,0.71
700.0,500.0,1.44
750.0,100.0,0.2687
750.0,150.0,0.2313
750.0,200.0,0.2356
750.0,250.0,0.2754
750.0,300.0,0.2546
750.0,400.0,0.2851
750.0,450.0,0.3618
750.0,500.0,0.5723
750.0,550.0,1.159
800.0,100.0,0.2592
800.0,200.0,0.2731
800.0,250.0,0.2824
800.0,300.0,0.2592
800.0,350.0,0.2097
800.0,400.0,0.2779
800.0,500.0,0.3373
800.0,550.0,0.551
800.0,600.0,2.097
850.0,100.0,0.2536
850.0,150.0,0.3513
850.0,200.0,0.2566
850.0,250.0,0.302
850.0,300.0,0.2825
850.0,350.0,0.2653
850.0,400.0,0.1945
850.0,450.0,0.304
850.0,550.0,0.3489
850.0,600.0,0.4785
900.0,150.0,0.3274
900.0,200.0,0.2944
900.0,250.0,0.2552
900.0,300.0,0.2556
900.0,350.0,0.2276
900.0,400.0,0.2591
900.0,450.0,0.2906
900.0,550.0,0.3169
950.0,100.0,0.3105
950.0,150.0,0.2982
950.0,200.0,0.2565
950.0,250.0,0.2559
950.0,300.0,0.2326
950.0,350.0,0.2573
950.0,400.0,0.2283
950.0,450.0,0.2461
950.0,500.0,0.2826
950.0,550.0,0.2569

