#: table_doi: 10.17182/hepdata.79165.v2/t8
#: name: Acceptance 7
#: description: Signal acceptance (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the asymmetric decay of the sbottom into bottom quark and neutralino or top quark and chargino, for the b1L-SRA300-2j signal region.
#: data_file: data7.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],ACCEPTANCE [PCT]
1000.0,100.0,1.18
1000.0,150.0,0.94
1000.0,200.0,1.32
1000.0,250.0,1.21
1000.0,300.0,1.09
1000.0,350.0,0.97
1000.0,450.0,0.98
1000.0,500.0,0.96
1050.0,100.0,1.14
1050.0,150.0,1.09
1050.0,200.0,1.15
1050.0,300.0,0.99
1050.0,350.0,1.1
1050.0,400.0,1.17
1050.0,450.0,1.06
1050.0,500.0,0.98
1050.0,550.0,0.91
1100.0,100.0,1.28
1100.0,150.0,1.26
1100.0,200.0,1.35
1100.0,250.0,1.17
1100.0,300.0,1.25
1100.0,350.0,1.12
1100.0,400.0,0.98
1100.0,450.0,0.94
1100.0,550.0,1.01
1150.0,100.0,1.2
1150.0,150.0,1.19
1150.0,200.0,1.33
1150.0,250.0,1.14
1150.0,300.0,1.35
1150.0,350.0,1.23
1150.0,400.0,1.16
1150.0,450.0,1.05
1150.0,500.0,1.1
1150.0,550.0,0.93
1200.0,150.0,1.11
1200.0,200.0,1.4
1200.0,250.0,1.14
1200.0,300.0,1.06
1200.0,350.0,1.17
1200.0,400.0,1.3
1200.0,450.0,1.02
1200.0,500.0,1.2
1200.0,550.0,1.0
1250.0,100.0,1.29
1250.0,150.0,1.16
1250.0,200.0,1.2
1250.0,250.0,1.24
1250.0,300.0,1.16
1250.0,350.0,1.27
1250.0,400.0,1.28
1250.0,450.0,1.23
1250.0,500.0,1.1
1250.0,550.0,0.99
1300.0,100.0,1.3
1300.0,150.0,1.39
1300.0,200.0,1.33
1300.0,250.0,1.14
1300.0,300.0,1.1
1300.0,350.0,1.16
1300.0,400.0,1.06
1300.0,450.0,1.03
1300.0,500.0,1.28
1300.0,550.0,1.24
300.0,100.0,0.01
400.0,100.0,0.13
400.0,150.0,0.09
450.0,150.0,0.16
450.0,200.0,0.1
500.0,100.0,0.49
500.0,200.0,0.34
500.0,250.0,0.24
500.0,300.0,0.07
550.0,100.0,0.63
550.0,200.0,0.48
550.0,250.0,0.41
550.0,300.0,0.22
600.0,100.0,0.79
600.0,150.0,0.64
600.0,200.0,0.63
600.0,300.0,0.42
600.0,350.0,0.24
600.0,400.0,0.07
650.0,150.0,0.7
650.0,200.0,0.77
650.0,250.0,0.6
650.0,300.0,0.59
650.0,350.0,0.43
650.0,400.0,0.23
650.0,450.0,0.09
700.0,100.0,0.9
700.0,150.0,0.88
700.0,200.0,0.79
700.0,250.0,0.71
700.0,300.0,0.74
700.0,350.0,0.66
700.0,400.0,0.48
700.0,450.0,0.26
700.0,500.0,0.09
750.0,100.0,1.04
750.0,150.0,0.86
750.0,200.0,0.79
750.0,250.0,0.77
750.0,300.0,0.74
750.0,350.0,0.8
750.0,400.0,0.54
750.0,450.0,0.39
750.0,500.0,0.19
750.0,550.0,0.11
800.0,100.0,1.06
800.0,200.0,0.99
800.0,250.0,0.83
800.0,300.0,0.86
800.0,350.0,0.63
800.0,400.0,0.68
800.0,450.0,0.61
800.0,500.0,0.44
800.0,550.0,0.29
800.0,600.0,0.1
850.0,100.0,0.93
850.0,200.0,0.89
850.0,250.0,0.97
850.0,300.0,0.86
850.0,350.0,0.71
850.0,400.0,0.69
850.0,450.0,0.69
850.0,550.0,0.56
850.0,600.0,0.24
900.0,100.0,1.08
900.0,150.0,1.25
900.0,200.0,1.16
900.0,250.0,1.01
900.0,300.0,1.05
900.0,350.0,0.88
900.0,400.0,0.84
900.0,450.0,0.85
900.0,550.0,0.71
900.0,600.0,0.45
950.0,100.0,1.15
950.0,150.0,1.22
950.0,200.0,1.05
950.0,250.0,0.94
950.0,300.0,0.86
950.0,350.0,1.0
950.0,450.0,0.92
950.0,500.0,0.87
950.0,550.0,0.72

