#: table_doi: 10.17182/hepdata.79165.v2/t92
#: name: Limit on cross section 17
#: description: Cross section excluded at 95% CL for best combination as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data89.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.01431
1000.0,150.0,0.01528
1000.0,200.0,0.02432
1000.0,250.0,0.01494
1000.0,300.0,0.01377
1000.0,350.0,0.01863
1000.0,450.0,0.0184
1000.0,500.0,0.03221
1050.0,100.0,0.01522
1050.0,150.0,0.0236
1050.0,200.0,0.0137
1050.0,300.0,0.01416
1050.0,350.0,0.01465
1050.0,400.0,0.01665
1050.0,450.0,0.02735
1050.0,500.0,0.01704
1050.0,550.0,0.01929
1100.0,100.0,0.01404
1100.0,150.0,0.02303
1100.0,200.0,0.01354
1100.0,250.0,0.01616
1100.0,300.0,0.01497
1100.0,350.0,0.02469
1100.0,400.0,0.01624
1100.0,450.0,0.01591
1100.0,500.0,0.01697
1100.0,550.0,0.01732
1150.0,100.0,0.01379
1150.0,150.0,0.0143
1150.0,200.0,0.01341
1150.0,250.0,0.0135
1150.0,300.0,0.01377
1150.0,350.0,0.0241
1150.0,400.0,0.01283
1150.0,450.0,0.01506
1150.0,500.0,0.01476
1150.0,550.0,0.0165
1200.0,150.0,0.01273
1200.0,200.0,0.01516
1200.0,250.0,0.01358
1200.0,300.0,0.01369
1200.0,350.0,0.01324
1200.0,400.0,0.01346
1200.0,450.0,0.01466
1200.0,500.0,0.01573
1200.0,550.0,0.01527
1250.0,100.0,0.01339
1250.0,150.0,0.01425
1250.0,200.0,0.01364
1250.0,250.0,0.01344
1250.0,300.0,0.01258
1250.0,350.0,0.01475
1250.0,400.0,0.01288
1250.0,450.0,0.01358
1250.0,500.0,0.02094
1250.0,550.0,0.01422
1300.0,100.0,0.01389
1300.0,150.0,0.01391
1300.0,200.0,0.01359
1300.0,250.0,0.01407
1300.0,300.0,0.01342
1300.0,350.0,0.02197
1300.0,400.0,0.01343
1300.0,450.0,0.01343
1300.0,500.0,0.01309
1300.0,550.0,0.01413
400.0,100.0,0.6665
400.0,150.0,2.117
450.0,150.0,0.5143
450.0,200.0,0.6377
500.0,100.0,0.1001
500.0,200.0,0.245
500.0,250.0,0.4903
500.0,300.0,0.6881
550.0,100.0,0.07508
550.0,200.0,0.1017
550.0,250.0,0.1628
550.0,300.0,0.3658
600.0,100.0,0.04776
600.0,150.0,0.05328
600.0,200.0,0.06353
600.0,250.0,0.09184
600.0,300.0,0.1348
600.0,350.0,0.4218
600.0,400.0,0.64
650.0,150.0,0.03565
650.0,200.0,0.04673
650.0,250.0,0.05755
650.0,300.0,0.07434
650.0,350.0,0.1478
650.0,400.0,0.3393
650.0,450.0,0.5676
700.0,100.0,0.02439
700.0,150.0,0.02517
700.0,200.0,0.03093
700.0,250.0,0.03504
700.0,300.0,0.04939
700.0,350.0,0.07194
700.0,400.0,0.0984
700.0,450.0,0.3537
700.0,500.0,0.5129
750.0,100.0,0.02147
750.0,150.0,0.02246
750.0,200.0,0.02374
750.0,250.0,0.02599
750.0,300.0,0.03269
750.0,350.0,0.04692
750.0,400.0,0.06672
750.0,450.0,0.09795
750.0,500.0,0.2796
750.0,550.0,0.4632
800.0,100.0,0.01781
800.0,200.0,0.02064
800.0,250.0,0.02333
800.0,300.0,0.0258
800.0,350.0,0.04186
800.0,400.0,0.04078
800.0,450.0,0.06058
800.0,500.0,0.1017
800.0,550.0,0.3194
800.0,600.0,0.6429
850.0,100.0,0.01715
850.0,150.0,0.02364
850.0,200.0,0.01776
850.0,250.0,0.01949
850.0,300.0,0.02097
850.0,350.0,0.02416
850.0,400.0,0.03028
850.0,450.0,0.03789
850.0,550.0,0.1287
850.0,600.0,0.3086
900.0,100.0,0.01465
900.0,150.0,0.0154
900.0,200.0,0.01596
900.0,250.0,0.01866
900.0,300.0,0.01755
900.0,350.0,0.0207
900.0,400.0,0.03299
900.0,450.0,0.02548
900.0,550.0,0.05345
900.0,600.0,0.08936
950.0,100.0,0.01587
950.0,150.0,0.01484
950.0,200.0,0.01592
950.0,250.0,0.01757
950.0,300.0,0.01634
950.0,350.0,0.01762
950.0,400.0,0.01864
950.0,450.0,0.02132
950.0,500.0,0.02558
950.0,550.0,0.03798

