#: table_doi: 10.17182/hepdata.79165.v2/t47
#: name: Contour 18
#: description: Observed exclusion limit for best b0L SR for sbottom pair production with symmetric decay into a bottom quark and a neutralino.
#: data_file: data46.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
374.0,0.0
374.0,8.488
374.0,23.46
368.1,26.79
347.7,38.44
347.7,53.41
341.9,56.74
321.5,68.39
321.5,83.36
315.6,86.69
295.2,98.34
289.4,101.8
269.2,113.3
269.2,128.3
263.1,132.1
236.9,132.1
217.2,143.3
217.6,158.2
218.3,173.2
219.3,188.2
220.9,203.2
218.1,218.1
246.7,246.7
263.1,246.7
267.0,248.1
275.3,263.1
286.8,278.0
289.4,279.5
310.5,293.0
315.6,296.4
327.5,308.0
327.6,323.0
341.9,331.1
354.2,337.9
368.1,346.4
387.8,352.9
391.1,367.9
394.4,370.2
412.3,382.9
418.8,397.8
420.6,398.6
440.3,412.8
445.9,427.8
446.9,428.4
473.1,439.6
483.1,442.8
499.4,451.6
510.2,442.8
525.6,431.5
534.2,427.8
551.9,420.6
578.1,422.2
588.0,412.8
604.4,399.2
608.7,397.8
630.6,393.8
656.9,393.7
665.4,397.8
683.1,411.8
685.9,412.8
709.4,417.1
733.2,427.8
735.6,429.2
761.9,437.2
779.1,442.8
788.1,445.4
814.4,443.1
815.0,442.8
840.6,431.4
866.9,432.5
893.1,436.8
905.1,427.8
919.4,417.0
923.8,412.8
944.7,397.8
937.2,382.9
933.8,367.9
927.2,352.9
926.6,337.9
927.0,323.0
926.8,308.0
926.0,293.0
924.3,278.0
920.1,263.1
919.4,258.9
917.5,248.1
919.4,245.3
928.0,233.1
936.8,218.1
944.2,203.2
945.6,199.4
953.1,188.2
962.4,173.2
963.5,158.2
963.2,143.3
962.3,128.3
953.4,113.3
946.0,98.34
951.1,83.36
955.4,68.39
957.2,53.41
956.9,38.44
953.5,23.46
946.8,8.488
946.8,0.0

