#: table_doi: 10.17182/hepdata.79165.v2/t54
#: name: Contour 25
#: description: Expected exclusion limit for b1L-SRA600 for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data53.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
721.9,281.2
730.2,268.8
735.1,256.2
737.5,248.2
738.8,243.8
742.1,231.2
745.4,218.8
747.9,206.2
751.7,193.8
755.2,181.2
757.5,168.8
761.0,156.2
762.5,149.4
764.2,143.8
765.0,131.2
765.7,118.8
766.5,106.2
766.5,100.0
363.8,100.0
363.8,106.2
377.1,118.8
387.5,128.6
391.3,131.2
408.9,143.8
412.5,147.0
427.9,156.2
437.5,163.8
442.2,168.8
454.3,181.2
462.5,189.8
465.6,193.8
475.6,206.2
485.9,218.8
487.5,220.9
497.2,231.2
509.2,243.8
512.5,247.1
524.2,256.2
537.5,265.4
543.0,268.8
562.5,280.4
565.1,281.2
587.5,292.6
594.0,293.8
612.5,298.4
637.5,302.0
656.5,306.2
662.5,307.8
673.6,306.2
687.5,302.8
705.0,293.8
712.5,289.8
721.9,281.2

