#: table_doi: 10.17182/hepdata.79165.v2/t18
#: name: Efficiency 5
#: description: Signal efficiency (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the symmetric decay of the sbottom into bottom quark and neutralino, for the b0L-SRC signal region.
#: data_file: data17.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Efficiency
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],EFFICIENCY [PCT]
1000.0,1.0,87.0
1000.0,100.0,0.0
1000.0,150.0,0.0
1000.0,200.0,0.0
1000.0,250.0,0.0
1000.0,300.0,0.0
1000.0,350.0,0.0
1000.0,400.0,0.0
1000.0,450.0,113.0
1000.0,50.0,0.0
1000.0,500.0,0.0
1000.0,550.0,0.0
1050.0,1.0,0.0
1050.0,100.0,0.0
1050.0,150.0,0.0
1050.0,200.0,0.0
1050.0,300.0,0.0
1050.0,350.0,0.0
1050.0,400.0,0.0
1050.0,450.0,0.0
1050.0,50.0,0.0
1050.0,500.0,0.0
1050.0,550.0,43.0
1050.0,600.0,0.0
1100.0,1.0,0.0
1100.0,100.0,86.0
1100.0,150.0,0.0
1100.0,200.0,0.0
1100.0,250.0,0.0
1100.0,300.0,0.0
1100.0,350.0,0.0
1100.0,400.0,347.0
1100.0,450.0,0.0
1100.0,50.0,0.0
1100.0,500.0,75.0
1100.0,550.0,0.0
1150.0,1.0,0.0
1150.0,100.0,0.0
1150.0,150.0,0.0
1150.0,200.0,0.0
1150.0,250.0,0.0
1150.0,300.0,0.0
1150.0,350.0,0.0
1150.0,400.0,0.0
1150.0,450.0,0.0
1150.0,50.0,0.0
1150.0,500.0,0.0
1150.0,550.0,94.0
1150.0,600.0,0.0
1200.0,1.0,0.0
1200.0,100.0,0.0
1200.0,150.0,0.0
1200.0,200.0,0.0
1200.0,250.0,0.0
1200.0,300.0,0.0
1200.0,350.0,78.0
1200.0,400.0,200.0
1200.0,450.0,0.0
1200.0,50.0,0.0
1200.0,500.0,0.0
1200.0,550.0,0.0
1200.0,600.0,0.0
1250.0,1.0,0.0
1250.0,100.0,0.0
1250.0,150.0,0.0
1250.0,200.0,329.0
1250.0,250.0,0.0
1250.0,300.0,0.0
1250.0,350.0,88.0
1250.0,400.0,0.0
1250.0,450.0,0.0
1250.0,50.0,0.0
1250.0,500.0,0.0
1250.0,550.0,0.0
1250.0,600.0,0.0
1300.0,100.0,0.0
1300.0,150.0,0.0
1300.0,200.0,0.0
1300.0,250.0,0.0
1300.0,300.0,0.0
1300.0,350.0,0.0
1300.0,400.0,0.0
1300.0,450.0,0.0
1300.0,50.0,0.0
1300.0,500.0,0.0
1300.0,550.0,0.0
1300.0,600.0,0.0
250.0,200.0,49.0
250.0,230.0,54.0
250.0,245.0,91.0
300.0,100.0,58.0
300.0,150.0,63.0
300.0,230.0,53.0
300.0,250.0,66.0
300.0,280.0,58.0
300.0,295.0,35.0
350.0,150.0,105.0
350.0,250.0,64.0
350.0,300.0,62.0
350.0,330.0,71.0
350.0,345.0,85.0
400.0,1.0,17.0
400.0,100.0,99.0
400.0,150.0,45.0
400.0,200.0,74.0
400.0,300.0,63.0
400.0,350.0,55.0
400.0,380.0,59.0
400.0,395.0,85.0
425.0,325.0,52.0
425.0,375.0,59.0
425.0,405.0,54.0
450.0,150.0,60.0
450.0,200.0,53.0
450.0,300.0,41.0
450.0,350.0,49.0
450.0,400.0,59.0
450.0,430.0,60.0
450.0,445.0,37.0
475.0,375.0,61.0
475.0,425.0,58.0
475.0,455.0,56.0
475.0,470.0,0.0
500.0,1.0,0.0
500.0,100.0,55.0
500.0,150.0,168.0
500.0,200.0,21.0
500.0,250.0,127.0
500.0,300.0,97.0
500.0,350.0,26.0
500.0,400.0,36.0
500.0,450.0,52.0
500.0,480.0,50.0
500.0,495.0,0.0
550.0,1.0,56.0
550.0,100.0,0.0
550.0,200.0,60.0
550.0,250.0,0.0
550.0,300.0,180.0
550.0,350.0,34.0
550.0,400.0,57.0
550.0,450.0,46.0
550.0,500.0,73.0
550.0,530.0,32.0
550.0,545.0,66.0
600.0,1.0,0.0
600.0,100.0,0.0
600.0,150.0,0.0
600.0,200.0,22.0
600.0,300.0,116.0
600.0,350.0,0.0
600.0,400.0,50.0
600.0,450.0,38.0
600.0,500.0,61.0
600.0,550.0,52.0
600.0,580.0,61.0
600.0,595.0,57.0
650.0,1.0,167.0
650.0,100.0,0.0
650.0,150.0,0.0
650.0,200.0,0.0
650.0,250.0,0.0
650.0,300.0,0.0
650.0,350.0,43.0
650.0,400.0,75.0
650.0,450.0,196.0
650.0,500.0,121.0
650.0,550.0,49.0
650.0,600.0,54.0
700.0,1.0,0.0
700.0,100.0,0.0
700.0,150.0,0.0
700.0,200.0,111.0
700.0,250.0,0.0
700.0,300.0,0.0
700.0,350.0,0.0
700.0,400.0,30.0
700.0,450.0,107.0
700.0,500.0,111.0
700.0,550.0,52.0
700.0,600.0,63.0
750.0,1.0,0.0
750.0,100.0,0.0
750.0,150.0,0.0
750.0,200.0,0.0
750.0,250.0,0.0
750.0,300.0,95.0
750.0,350.0,0.0
750.0,400.0,15.0
750.0,450.0,246.0
750.0,500.0,0.0
750.0,550.0,21.0
750.0,600.0,35.0
800.0,1.0,0.0
800.0,100.0,0.0
800.0,200.0,24.0
800.0,250.0,0.0
800.0,300.0,55.0
800.0,350.0,0.0
800.0,400.0,0.0
800.0,450.0,177.0
800.0,50.0,0.0
800.0,500.0,0.0
800.0,550.0,53.0
800.0,600.0,0.0
850.0,1.0,0.0
850.0,100.0,0.0
850.0,200.0,0.0
850.0,250.0,0.0
850.0,300.0,0.0
850.0,350.0,0.0
850.0,400.0,96.0
850.0,450.0,0.0
850.0,50.0,0.0
850.0,500.0,53.0
850.0,550.0,0.0
850.0,600.0,40.0
900.0,1.0,0.0
900.0,100.0,0.0
900.0,150.0,0.0
900.0,200.0,0.0
900.0,250.0,0.0
900.0,300.0,0.0
900.0,350.0,0.0
900.0,400.0,0.0
900.0,450.0,0.0
900.0,50.0,126.0
900.0,500.0,47.0
900.0,550.0,0.0
900.0,600.0,0.0
950.0,1.0,0.0
950.0,100.0,0.0
950.0,150.0,0.0
950.0,200.0,0.0
950.0,250.0,0.0
950.0,300.0,0.0
950.0,350.0,0.0
950.0,400.0,0.0
950.0,450.0,0.0
950.0,50.0,0.0
950.0,500.0,0.0
950.0,550.0,0.0

