#: table_doi: 10.17182/hepdata.79165.v2/t76
#: name: Limit on cross section 1
#: description: Cross section excluded at 95% CL for best b0L SR as a function of the sbottom and neutralino masses, for a pair produced sbottom with symmetric decay into a bottom and a neutralino.
#: data_file: data75.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.008004
1000.0,1.0,0.007693
1000.0,150.0,0.008454
1000.0,200.0,0.007901
1000.0,250.0,0.008218
1000.0,300.0,0.007507
1000.0,350.0,0.01118
1000.0,400.0,0.01192
1000.0,450.0,0.01365
1000.0,500.0,0.01099
1000.0,50.0,0.008305
1000.0,550.0,0.01444
1050.0,100.0,0.009731
1050.0,1.0,0.007976
1050.0,150.0,0.008081
1050.0,200.0,0.00848
1050.0,300.0,0.009462
1050.0,350.0,0.008437
1050.0,400.0,0.009456
1050.0,450.0,0.00981
1050.0,500.0,0.009607
1050.0,50.0,0.008275
1050.0,550.0,0.01048
1050.0,600.0,0.01319
1100.0,100.0,0.007352
1100.0,1.0,0.008433
1100.0,150.0,0.006834
1100.0,200.0,0.006917
1100.0,250.0,0.009871
1100.0,300.0,0.008519
1100.0,350.0,0.008827
1100.0,400.0,0.009455
1100.0,450.0,0.009206
1100.0,500.0,0.009517
1100.0,50.0,0.009875
1100.0,550.0,0.009635
1150.0,100.0,0.008254
1150.0,1.0,0.009698
1150.0,150.0,0.008686
1150.0,200.0,0.007339
1150.0,250.0,0.00756
1150.0,300.0,0.00771
1150.0,350.0,0.007725
1150.0,400.0,0.007901
1150.0,450.0,0.009505
1150.0,500.0,0.008131
1150.0,50.0,0.007029
1150.0,550.0,0.01052
1150.0,600.0,0.01015
1200.0,100.0,0.009732
1200.0,1.0,0.007507
1200.0,150.0,0.007473
1200.0,200.0,0.0118
1200.0,250.0,0.008378
1200.0,300.0,0.008553
1200.0,350.0,0.008942
1200.0,400.0,0.008016
1200.0,450.0,0.008448
1200.0,500.0,0.008258
1200.0,50.0,0.009254
1200.0,550.0,0.007742
1200.0,600.0,0.009989
1250.0,100.0,0.008428
1250.0,1.0,0.007307
1250.0,150.0,0.008865
1250.0,200.0,0.008494
1250.0,250.0,0.008768
1250.0,300.0,0.009185
1250.0,350.0,0.008129
1250.0,400.0,0.007685
1250.0,450.0,0.007869
1250.0,500.0,0.007904
1250.0,50.0,0.008556
1250.0,550.0,0.0094
1250.0,600.0,0.008482
1300.0,100.0,0.008825
1300.0,150.0,0.007408
1300.0,200.0,0.01035
1300.0,250.0,0.00827
1300.0,300.0,0.008104
1300.0,350.0,0.008045
1300.0,400.0,0.008035
1300.0,450.0,0.009258
1300.0,500.0,0.007585
1300.0,50.0,0.008688
1300.0,550.0,0.007846
1300.0,600.0,0.007738
250.0,150.0,4.42
250.0,200.0,4.896
250.0,230.0,2.259
250.0,245.0,219.9
300.0,100.0,12.26
300.0,150.0,0.9403
300.0,230.0,3.378
300.0,250.0,1.803
300.0,280.0,1.711
350.0,150.0,0.3747
350.0,250.0,1.307
350.0,300.0,15.76
350.0,330.0,0.9552
350.0,345.0,158.5
400.0,100.0,0.21
400.0,1.0,0.1779
400.0,150.0,1.736
400.0,200.0,0.3042
400.0,300.0,0.8387
400.0,350.0,1.041
400.0,380.0,1.365
400.0,395.0,63.21
425.0,325.0,0.7126
425.0,375.0,0.617
425.0,405.0,0.9945
450.0,150.0,0.1854
450.0,200.0,0.1908
450.0,300.0,0.3038
450.0,350.0,0.7431
450.0,400.0,0.4868
450.0,430.0,0.8171
450.0,445.0,68.95
475.0,375.0,0.597
475.0,425.0,0.4331
475.0,455.0,58.69
500.0,100.0,0.1657
500.0,1.0,0.04001
500.0,150.0,0.1624
500.0,200.0,0.159
500.0,250.0,0.2013
500.0,300.0,4.523
500.0,350.0,0.2371
500.0,400.0,0.9824
500.0,450.0,0.4709
500.0,480.0,0.894
550.0,100.0,0.03176
550.0,1.0,0.0372
550.0,200.0,0.0515
550.0,250.0,0.09195
550.0,300.0,0.1606
550.0,350.0,0.1695
550.0,400.0,0.2316
550.0,450.0,0.4692
550.0,500.0,0.3709
550.0,530.0,1.518
550.0,545.0,19.24
600.0,100.0,0.02313
600.0,1.0,0.02211
600.0,150.0,0.0265
600.0,200.0,0.03138
600.0,250.0,0.04062
600.0,300.0,0.1704
600.0,350.0,0.2404
600.0,400.0,2.462
600.0,450.0,1.145
600.0,500.0,0.5212
600.0,550.0,0.3345
600.0,580.0,0.8117
650.0,100.0,0.01763
650.0,1.0,0.01587
650.0,150.0,0.02047
650.0,200.0,0.02361
650.0,250.0,0.02722
650.0,300.0,0.0358
650.0,350.0,0.06936
650.0,400.0,0.1199
650.0,450.0,0.1704
650.0,500.0,0.1889
650.0,550.0,0.3625
650.0,600.0,3.975
700.0,100.0,0.0185
700.0,1.0,0.0189
700.0,150.0,0.01305
700.0,200.0,0.01576
700.0,250.0,0.02146
700.0,300.0,0.02538
700.0,350.0,0.03362
700.0,400.0,0.05695
700.0,450.0,0.1532
700.0,500.0,0.1389
700.0,550.0,0.2013
700.0,600.0,0.5508
750.0,100.0,0.01149
750.0,1.0,0.00952
750.0,150.0,0.01175
750.0,200.0,0.01223
750.0,250.0,0.01244
750.0,300.0,0.01766
750.0,350.0,0.02476
750.0,400.0,0.0331
750.0,450.0,0.0501
750.0,500.0,0.1037
750.0,550.0,0.1396
750.0,600.0,0.1617
800.0,100.0,0.0107
800.0,1.0,0.01196
800.0,200.0,0.01432
800.0,250.0,0.01181
800.0,300.0,0.01391
800.0,350.0,0.01538
800.0,400.0,0.02372
800.0,450.0,0.02855
800.0,500.0,0.04995
800.0,50.0,0.009024
800.0,550.0,0.1192
800.0,600.0,0.1599
850.0,100.0,0.00893
850.0,1.0,0.01073
850.0,150.0,0.009992
850.0,200.0,0.01012
850.0,250.0,0.01067
850.0,300.0,0.01208
850.0,350.0,0.01323
850.0,400.0,0.02091
850.0,450.0,0.02261
850.0,500.0,0.02908
850.0,50.0,0.01184
850.0,550.0,0.04477
850.0,600.0,0.1142
900.0,100.0,0.009442
900.0,1.0,0.009247
900.0,150.0,0.009674
900.0,200.0,0.009215
900.0,250.0,0.01011
900.0,300.0,0.0105
900.0,350.0,0.01021
900.0,400.0,0.01733
900.0,450.0,0.01376
900.0,500.0,0.01959
900.0,50.0,0.008774
900.0,550.0,0.02609
900.0,600.0,0.1093
950.0,100.0,0.009168
950.0,1.0,0.009279
950.0,150.0,0.007966
950.0,200.0,0.00889
950.0,250.0,0.01131
950.0,300.0,0.009517
950.0,350.0,0.01121
950.0,400.0,0.009059
950.0,450.0,0.01198
950.0,500.0,0.01431
950.0,50.0,0.008482
950.0,550.0,0.02093

