#: table_doi: 10.17182/hepdata.79165.v2/t49
#: name: Contour 20
#: description: Observed exclusion limit for best b0L SR for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data48.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
630.6,282.0
651.6,281.2
656.9,281.0
683.1,271.9
688.4,268.8
709.3,256.2
709.4,256.2
709.5,256.2
735.6,260.1
745.1,256.2
761.9,245.4
762.8,243.8
767.4,231.2
771.6,218.8
776.4,206.2
779.8,193.8
782.8,181.2
785.1,168.8
787.3,156.2
788.1,150.2
789.0,143.8
790.4,131.2
791.7,118.8
792.7,106.2
792.7,100.0
297.3,100.0
297.3,106.2
289.4,109.6
283.8,113.8
467.6,297.6
473.1,297.8
489.1,293.8
494.4,281.2
497.9,268.8
499.4,263.4
506.4,256.2
525.6,247.7
536.8,243.8
551.9,240.6
558.0,243.8
572.4,256.2
576.8,268.8
578.1,269.9
604.4,273.1
628.5,281.2
630.6,282.0

