#: table_doi: 10.17182/hepdata.83419.v1/t41
#: name: Cross-section UL combined
#: description: Observed 95% CL upper limit on the production cross-section of C1/N2 from the analysis of 36.1fb$^{-1}$ of 13 TeV $pp$ collision data obtained from the statistical combination of 2 and 3$\ell$ searches, assuming 100% branching ratio of the sparticles to decay to SM $W/Z$ bosons and N1.
#: data_file: data41.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: N
#: keyword phrases: 
#: keyword cmenergies: 13000.0
'M(LSP) [GeV]','M(NLSP) [GeV]','95% CL Upper Limit'
1.0,150.0,16914.471728
50.0,150.0,13914.494745
1.0,200.0,14237.7870206
50.0,200.0,9791.0834775
100.0,200.0,5986.617897
1.0,250.0,168.246442305
50.0,250.0,232.82118198
100.0,250.0,7994.2001868
150.0,250.0,6494.28998085
100.0,300.0,219.451913208
150.0,300.0,7284.650604
200.0,300.0,11020.517684
50.0,350.0,40.973179887
100.0,350.0,56.864992329
150.0,350.0,89.665234119
200.0,350.0,12885.7973067
250.0,350.0,4056.2260569
100.0,400.0,30.610480376
200.0,400.0,79.475892815
300.0,400.0,15762.427302
50.0,450.0,21.3335542305
150.0,450.0,25.9186105701
250.0,450.0,61.920585159
1.0,500.0,18.9870996861
50.0,500.0,21.2482600134
100.0,500.0,19.9538904642
150.0,500.0,20.9418183471
200.0,500.0,23.6787489456
250.0,500.0,37.9031861166
300.0,500.0,54.218991477
350.0,500.0,342.314021637
1.0,550.0,18.3191465616
50.0,550.0,18.5724772704
100.0,550.0,19.71095718
150.0,550.0,21.7378441752
200.0,550.0,26.7901598568
250.0,550.0,23.6566478256
300.0,550.0,33.410211936
350.0,550.0,61.117315536
1.0,600.0,20.184925164
50.0,600.0,16.5945429528
100.0,600.0,19.0365207852
150.0,600.0,16.6737828348
200.0,600.0,20.457985596
250.0,600.0,27.205961316
300.0,600.0,19.8873577596
350.0,600.0,31.114591836
50.0,650.0,17.066900203
150.0,650.0,16.053878669
250.0,650.0,21.155371634
1.0,700.0,14.8071878272
100.0,700.0,16.1877058784
200.0,700.0,16.963557784
300.0,700.0,19.9225987488

